sq_orig	sq_mod
Maa parë se si e mbë qish arrësye duhenë me qenë shërbyem këto shinte sakramente .	Më parë se si e më qysh arsye duhen shërbyer këto të shenjta sakramente .
Posikundrëse qysh moti këto kafshë shinteja ama kishë katolike me saa të denja e të dërejta arrësenje i kaa urdhënuom e ndërequnë me urdhëni-të shintet kanone e të saa papëve e atëshintëne për të shërbyemi-të shintevet sakramente e të gjithë saa janë çerimoniavet tyne , tashti këtu po i shkruonjëmë paa shumë të tjera të përziena , ashtu qi këndyy tutje ende maa tepërë se ndierë mp sod me saa kujdes e të dëlirë zemërë të jeenë shërbyem e ruojtunë , posikundrëse këtu për fundit gjithë kafsha kaa me qenë tfiilluom e ndërequnë .	Posikundërse qysh moti këto gjëra e shenjta amë kisha katolike me sa të denja e të drejta arsye i ka urdhëruar e ndrequr me urdhër  të të shenjtave ligje e të sa papëve e Atit të Shënjtë për të shërbyerit e te shenjteve sakramente e të gjithë sa janë cerimonive të tyre , tashti këtu po i shkruajmë pa shumë të tjera të përziera , ashtu që këndej e tutje edhe më tepër se deri më sot me sa kujdes e të dëlir zemër të jenë shërbyer e ruajtur , posikundërse këtu për fundit gjithë gjëja do të jetë ftilluar e ndrequr .
E maa tepërë përmbii gjithë kafshët mirë të venë roe gjithëkush plot me arrësye me shërbyem e me mbaajtunë ato kafshë , qi me saa të denja e të dërejta arrësenje i kaa ndërequnë e urdhënuom shinti < Concilio Tridentino > , veçë n gjithë ncë tjerashit ndë sesione-të 7. tue thanë , se : Këndyy tutje gjithëkush të kapërcenjë oo të shkonjë ndoonjë kafshë shërbëtyret së shintevet sakramente oo me qishdo fjalë të shtierë kundrë , tue thanë , se s janë mirë e me arrësye ndërequnë e urdhënuom gjith ato kafshë , qi ndierë m tashti bukur i kaa njofunë e provuom e përzanë shinteja ama kishë katolike – oo me qishdo ashtu tietër arrësye tue mos baam stimë prej ncosh , t i mbee sikuur pr asgjaa e për kafshë të mbrazëta – oo të zanë fiill me baam qishdo të tjera çerimonie e zakone të rea , tue i ndërruom njaj arrëseu mbë një tietërë , < Anatema sit > – mallëkuom qoftë !	E më tepër përmbi gjithë gjërat mirë të vërë re gjithkush plot me arsye për të shërbyer e për të mbajtur ato gjëra, që me sa të denja e të drejta arsye i ka ndrequr e urdhëruar i shenjti < Koncili Trentin > , veç në gjithë së tjerash në sesion të 7. duke thënë , se : Këndej e tutje gjithkush të kapërcejë o të shkojë ndonjë send shërbimet e të shentave sakramente o me qyshdo fjalë të shtjerë kundër , duke thënë , se s'janë mirë e me arsye ndrequr e urdhëruar gjithë ato gjëra, që deri më tashti bukur i ka njohur e provuar e ruajutur e shenjta ama kishë katolike – o me qyshdo ashtu tjetër arsye duke mos bërë stimë prej syresh, t'i mbajë sikur për asgjë e për gjëra të zbrazëta – o të zërë fill për të bërë qyshdo të tjera ceremoni e zakone të reja , duke i ndërruar një arsye më një tjetër , < Anatema sit > – mallkuar qoftë !
Përse mb atë herë , kuur gjithëkush mirë tue e njofunë e tue e diijtune , se nde kishë-të Tinëzot s ashtë maa shinte as ma e viejtëshime e e lëvduome kafshë se shintetë sakramente për të shelbuomi-të shekullit , jo ndoonjii tjetër ane zanë fiill oo urdhënuom e e ardhunë maa parë veçëse Krishtit së mëshëriershim , zotit synë , – praashtu prifti oo qishdo tjetërë ndë shintit urdhënë , qi të doë mirë e me arrësye , si do ligja , këto shinte sakramente me j shërbyem , bukur i duhetë t i nçelnjë syytë e mendet e të shpiirtit maa tepërë se ata të korpit , qi pak kafshë munë shohonë , mirë tue vuum roe e tue kujtuom vetë ndë vetëhe , se aj aty mb atë arrësye po del e kallëzonetë përpara faqesë Tinëzot e përzihetë e përket me duor-të vet saa të randa kafshë gjithë shinte e të shekruome , qi s përkasënë tietërkuujnaaj veçesë shintënet eengjiivet Tinëzot .	Përse më atë herë , kur gjithkush mirë duke e njohur e duke e ditur , se në kishë të Tinëzot s'është më e shenjtë as më e vlefshme e e lëvduar gjë se të shenjtat sakramente për të shëlbuarit të dheut , jo ndonjë tjetër anë zënë fill o urdhëruar e e ardhur më parë veçse Krishtit të mëshirshëm , zotit tonë , – pra ashtu prifti o kushdo tjetër në  të shenjtin urdhër , që të dojë mirë e me arsye , si do ligja , këto të shenjta sakramente t'i shërbejë , bukur i duhet t'i çelë sytë e mendjes e të shpirtit më tepër se ata të trupit, që pak gjë mund të shohin , mirë duke vënë re e duke kujtuar vetë në vete , se ai aty më atë arsye po del e kallëzohet përpara faqes së Tinëzot e përzihet e përket me duart e veta sa të rënda gjëra gjithë të shenjtat e të shkruara , që s'i përkasin tetërkujt veçse shenjtëve e engjëjve të Tinëzot .
Prashtu t atiitë duhetë të jeenë gjithëherë ndë frikët e tmeer-të Tinëzot , me të madh kujdes e të nzyyrunë tue u gjetunë gaatii ndë gjithë mot e koho e horë të ditësë e të natësë , kuurdo e kedo të jeenë thirrë e grishunë , këto shinte sakramente me j shërbyem paa ndoonje të vonuom , të ciecienë ndë kohot e ndë mo-të vet .	Pra ashtu të atillë duhet të jenë gjithherë në frikë e tmerr të Tinëzot , me të madh kujdes e të nzyyrunë duke u gjetur gati në gjithë mot e kohë e horë të ditës e të natës , kurdo e kudo të jenë thirrur e grishur , këto të shenjta sakramente për t'i shërbyer pa ndonjë të vonuar , të ciecienë në kohë e në mot të vet .
E jo veçëse gaatii e për të çpejtë këtyne kafshëve gjithëherë duhetë me u gjetunë , po ashtu ende me të madh të mpastrë e jetë të dëlirë posikundrëse të korpit ashtu ende maa tepërë të shpiirtit .	E jo veçse gati e për të shpejtë këtyre gjërave gjithherë duhet të gjenden , po ashtu edhe me të madh të pastër e jetë të dëlirë posikundërse të trupit ashtu edhe më tepër të shpirtit .
Përse thotë , se , ndoonëse shintetë sakramente s munë pëgahenë as munë palavohenë , ashtu as munë vdierrënë forcënë e vërtytnë e vet ncë paadenjit e ncë paadëlirit së priftënet e t atyne , qi i shërbenjënë , – asgjaamangu veçëse vaaj e vaaj ncish , qi për të paadenjët e të paadëlirë-të vet kanë me u gjetunë të denjëtë e mundimevet ferrit e të zjarmit amëshuom për gjithë jetë-të jetësë !	Përse thotë , se , ndonëse të shenjtat sakramente s'mund të pëgëhen as mund të palavohen , ashtu as mund të vdirren forcën e virtytin e vet së padenjit e së padëlirit së priftërit e atyre , që i shërbejnë , – asgjëmangu veçse vaj e vaj sish , që për të padenjët e të padëlirë të vet kanë për t'u gjetur të denjët e mundimeve të ferrit e të zjarmit të amshuar për gjithë jetë të jetës !
Praashtu thotë , se prifti oo kushdo tjetër mb atë arrësye , qi të jeetë përziem ndë këtë shinte shërbëtyrë , gjithë herë e ndë gjithë koho , qi t a ndienjë vetëvetëhenë e shpiirtinë e vet plaguom e farmakuom me shigjetët e farmëku-të ndoonjii mkati murtaar , aspak paa mos u rrëfyem e xgjidhunë mkatit maa parë , mos afronetë e mos përzihetë ndë ndoonjë kënco shinte sakramentesh .	Pra ashtu thotë , se prifti o kushdo tjetër më atë arsye , që të jetë përzier në këtë të shenjtë shërbim , gjithherë e në gjithë kohët , që ta ndiejë vetveten e shpirtin e vet të plaguar e të farmakuar me shigjetat e farmakut të ndonjë mëkati mortar , aspak pa u rrëfyer e zgjidhur mëkatit më parë , të mos afrohet e të mos përzihet në ndonjë këso të shenjta sakramente .
Maa ke t i goditeej kafsha ashtu , qi aqë për të çpejtë të mos mundeej me u rrëfyem , e aj ndoonee vetë ndë vetëhe përpara faqesë Tinëzot të jeetë me gjithë zemërë nkthyem e peenduom e ndeevonë , saa maa çpejt qi të mundnjë , të rrëfyhetë e të xgjidhetë mkatit .	Më ku t'i goditej gjëja ashtu , që aq për të shpejtë të mos mundej të rrëfehej , e ai ndoonee vetë në vete përpara faqes së Tinëzot të jetë me gjithë zemër i kthyer e i penduar e pastaj, sa më spejt që të mundë , të rrëfehet e të zgjidhet prej mëkatit .
E ashtu ende thotë , se gjithëherë e kuurdota , ndë qishdo koho e horë të ditësë e të natësë të jeetë grishunë e thirrë mbë ndoonjë kënco shinte sakramentesh , aspak të mos gjindetë i randë e j vonuoshim , tue e përciellë horë mb orë e sod mbë nesër ; e aqë maa tepërë mb atë herë , kuur sheh , se ashtë kafsha për të çpejtë , po mb ate ças gaatii të gjindetë ,  ashtu qi si vetëvetëhenë e shpiirtinë e vet ashtu as ndoonjë tjetër të mos venë m perikulli-të mortsë amëshuome – tue i mpsuom ashtu ende e bukur tue u a shtiim ndë mend gjithë famulliisë e populli-të vet , t madhit e t vogëlit , qi gjithë herë e ndë gjithë koho , qi të goditnjë ashtu zyra , as për ndoonjë tjetër kafshë atë të mos e laanë , ashtu as të mos e përciellënë ditë mbë ditë e sod mbë nesër , po mb atë ças e maa çpejt , qi të mundnjënë , të vinjënë me e grishunë .	E ashtu edhe thotë , se gjithherë e kuurdota , në çdo kohë e orë të ditës e të natës të jetë grishur e thirrur më ndonjë këso të shenjta sakramentesh , aspak të mos gjendet i rëndë e i vonueshëm , dukee përcjellë orë më orë e sot më nesër ; e aq më tepër më atë herë , kur sheh , se është gjëja për të shpejtë , po më atë çast gati të gjendet , ashtu që si vetveten e shpirtin e vet ashtu as ndonjë tjetër të mos venë në rrezik të mortjes së amshuar duke i mësuar ashtu edhe e bukur duke ua shtirë në mend gjithë famullisë e popullit të vet , të madhit e të voglit , që gjithherë e në gjithë kohët , qi të goditnjë ashtu zyra , as për ndoonjë tjetër gjë atë të mos e lënë , ashtu as të mos e përcjellin ditë më ditë e sot më nesër , po më atë ças e më shpejt , që të mundin , të vijnë për ta grishur .
