sq_orig	sq_mod
Pasëqyra e t rrëfyemit e atit Emerio de Bonis me saa tjera kafshë shumë të frujtuoshime të shpiirtit për ndimë të gjuhu- së arbëneshe e aqë maa tepërë për t atynet , qi s janë të zotë me ndëgjuom gjuhu ncë tjera letërash , nkthyem gjuhet së lëtine mbë gjuhu-t arbëneshe zotit dom Pietrë Budit prej Gurit së Bardhë , upeshkëpit së Zadrimësë .	Pasqyra e të rrëfyemit e atit Emerio de Bonis me sa të tjera gjëra shumë të frytshme të shpirtit për ndimë të gjuhës së arbëreshe e aq më tepër për të atyre , që s'janë të zotë të kuptojnë gjuhë të tjera letrash , kthyer gjuhës së latine më gjuhë të arbëreshe zotit dom Pietër Budit prej Gurit së Bardhë , ipeshkëvit të Zadrimës .
In Roma 1621 .	In Roma 1621 .
Të rekumenduom e të porësitunë upeshktipinjet e vikarinjet e gjithë saa tjerë prelate gjindenë ndë gjuhu-tanë t arbëneshe .	Të rekomanduar e të porositur ipeshkëve e vikarëve e gjithë sa tjerë prelatë gjenden në gjuhën tonë të arbëreshe .
Të ndritshimë e shumë të ndeershimë zotënii e shokë e vëllazënë !	Të ndritshëm e shumë të ndershëm zotërinj e shokë e vëllezër !
Tue dashunë me u nëkuom saa tentacionesh e fëdigësh , qi më kanë gjetunë mbë këtë udhë , druo , se kaa me dukunë kuujnaaj , se duo me u lëvduom .	Duke dashur të ankohem sa përpjekjesh e mundimesh , që më kanë gjetur më këtë udhë , druaj , se ka për t'iu dukur kuujt , se dua të lëvdohem .
E kuur të doe ashtu ende gjaakafshë me u lëvduom , kuur të thom të vërtetënë , – posi mb atë herë i shën Paali i beekuom korintianëvet , – thom , se s dii , a ka me qenë gjaa pr ata i paadiijtunë , mirë tue paam zotënia juoj , se jashtë këncosh ende saa të tjera letëra me dorë të shkruome gjindenë mbë saa vise , qi dëshmonjënë , se saa i madh kaa qenë gjithëherë kujdesi e dëshiri i zemërësë sime për ndimë të Patriesë e të gjuhusë sanë , qi u vduorrë ende po vdaarenë maa të shumënë veçëse për letërë e për të mpsuom .	E kur të dua ashtu edhe gjëkafshë të lëvdohem , kur të them të vërtetën , – posi më atë herë shën Pali i bekuar korintianëve , – them , se s'di , a ka për të qenë gjë për ata i paditur , mirë duke parë zotnia juaj , se jashtë kësosh edhe sa të tjera letra me dorë të shkruara gjenden më sa vise , që dëshmojnë , se sa i madh ka qenë gjithherë kujdesi e dëshira e zemrës sime për ndihmë të athdeut e të gjuhës sonë , që u vdor edhe po vdaret më të shumën veçse për letër e për të mësuar .
E ndeevonë , kuur maa tue paam , se dita qi vjen po maa keq shinteja fee ndër ta vjen tue menguom ;	E pastaj , kur më duke parë , se dita që vjen po më keq e shenjta fe ndër ta vjen duke munguar ;
e shërbëtyra e kishësë Tinëzot , me gjithë saa janë tjerat vepëra të mira , maa tue u shqimbunë e tue u harruom ;	e shërbesa e kishës së Tinëzot , me gjithë sa janë të tjerat vepra të mira , po duke u shqimur e duke u harruar ;
e mbas mortjet së pleqet të riitë maa i lanë gjurmëtë e Krishtit e të apostujet e vepëratë e t kërshtenëvet e u veshnë ndër të t pëganëvet e të t paafeevet ;	e mbas mortjet së pleqve të rinjtë më i lënë gjurmëtë e Krishtit e të apostujve e veprat e të krishterëve e u veshën ndër të të paganëve e të të pafeve ;
e priftënitë , qi duheej me qenë drita e pasëqyra e tyne , – disa lakëmia , disa të paakujdestë e të paadiijtunitë e tyne mbë disa vise i bani me qenë për maa të madh dam e skandullixim e të vdjerrë të tyne , se për qishdo ndimë oo fruj-të mirë të shpiirtit ;	e priftërinjtë , që duhej të ishin drita e pasqyra e tyre , – disa lakmia , disa të pakujdesurit e të paditurit e tyre më disa vise i bëri të jenë për ma të madh dëm e skandullixim e të vdjerrë të tyre , se për çdo ndihmë o fryt të mirë të shpirtit ;
