sq_orig	sq_mod
Të rekumenduom nd uratë gjith atyne , qi t a marrënë me e xgjedhunë .	Të rekumenduar në uratë gjithë atyre , që ta marrin për ta zgjedhur.
Vëllazënitë e dashunë e të feeshimitë bijtë e Krishtit !	Vëllezërit e dashur e të feshëm bijtë e Krishtit !
Disa herë tue kujtuom të vdierrëtë e gjith aqë të madh dam të shintesë fee , qi u baa ende po bahetë për gjithë ditë ndë gjuhu-tanë maa keq me dhuunë se ndoonjii tjetër dore gjindje përmbii dheet , e tue paam ashtu ende , se këta diesitë e letërorëtë e hollë , qi u vien n dore ashtu gjaakafshë me ndimuom , e lanë shkret e gjaa maa s po ndimonjënë , – maa s keshë tietër qish me baam , veçëse hina mbarë e mprapë , sido munda , shkrova mbë gjuhu-tanë maa parë do kapituj të Ditësë Gjyyqit , qi i gjeta shkruom atit shumë ncë ndeershim e ncë devotshim frat Paalit prej Hasi .	Disa herë duke kujtuar të vdjerrët e gjith aq të madh dëm të së shenjtës fe , që u bë edhe po bëhet për gjithë ditë në gjuhën tonë më keq me dhunë se ndonji tjetër dor gjindje përmbi dhe , e duke parë ashtu edhe, se këta dijetarët e letrarët e hollë , që u vjen ndore ashtu gjëkafshë për të ndimuar , e lanë shkretë e gjë më s'po ndihmojnë , – më s'kisha tietër ç'të bëja , veçse hyra  mbarë e prapë , sido munda , shkrova në gjuhën tonë më parë do kapituj të Ditës së Gjyyqit , që i gjeta të shkruara atit shumë të ndershëm e të devotshëm frat Palit prej Hasi .
Të ciitë ende me do të tjera të nçtuome disa herë tue i shkruom , kuur tue paam se ishnë për të madhe ndimë e fruj-të shpiirtit t atii populli e aqë maa tepërë të disa priftëne , qi dëshërojnë me i pasunë , hina për gjithë ditë kaa pak tue nçtuom .	Të cilët ende me do të tjerë të shtuar disa herë duke i shkruar , kur duke parë se ishin për të madhe ndihmë e fruj-të të shpirtit të atij populli e aq më tepër të disa priftërve , që dëshirojnë me i pasur, hyra për gjithë ditë nga pak duke shtuar.
Shkrova ende saa të tjera kafshë , saa mujta ncë tiera gjuhush tue i nkthyem mbë gjuhu-tanë .	Shkrova edhe sa të tjera gjëra, sa munda prej gjuhësh të tjera duke i kthyer në gjuhën tonë .
E ndeevonë , mbasi andej u daashë , erdhshë mbë Romë , ke ashtë gurra e gjallë e gjithë herëvet .	E më vonë , mbasi andej u ndava , erdha që Romë , që është gurra e gjallë e gjithë herëve .
Tue paam , se gjuha jonë asndoonjë letërë e të mpsuom s e kaa , me të ciit të mundeej ndërta mee u ndimuom feeja e Krishtit , zuna fiill mund aqë saa munda , nktheva këtë shinte Doktrinë gjuhet së lëtine mbë gjuhu-t arbëneshe – si për ndimët të atii populli ashtu ende me nxierrë pakëzë gjumënë e disave , qi pakmos gjithë të riitë e jetënë e vet e shkuonë ndë të mbrazëtë paa mos lanë ndoonjë të përmendunë të mirë mbas vetëhe .	Duke parë se gjuha jonë as ndonjë letër e të mësuar s'ka , me të cilat të mundej ndër ta të ndihmohej feja e Krishtit , zura fill me aq sa munda , ktheva këtë të shenjtë Doktrinë prej gjuhës latine në gjuhën arbëreshe – si për ndimët të atij populli ashtu edhe për të nxjerrë pakëz gjumin e disave , që pakmos gjithë të rinjtë jetën e vet e shkojnë në të zbrazët duke mos lënë ndonjë të përmendur të mirë mbas vetes .
Të ciinë ndoonëse me pak fëdigë mbasi e mbarova , m u baa kori , qi disa e dërgova , disa mbet këtu .	Të cilën ndonëse me pak fëdigë mbasi e mbarova , m'u bë kori , që disa e dërgova , disa mbeti këtu .
E ndevonë , kuur maa për ngee tue e vuum roe , për pak fjalë , qi më duknë , se s jesënë mirë , qish ndodhi , këha ndë një ças fienë e parë e hoqa , e vent-atë saaj shtampova tjetërënë maa mirë .	E më vonë , kur më për nge duke vënë re , për pak fjalë , që m'u dukën se s'jesën mirë , qysh ndodhi , këtu në një çast fletën e parë e hoqa , e në vend të saj shtypa tjetrën më mirë .
Praashtu mos u vinjë gjaa keq pr ata , përse mb atë herë disa tue qenë puna për të ngutunë , disa u tue qenë vetëmë e jo aqë vesht ndjerë nd anët , disa shtampatorëtë tue mos diijtunë gjuhunë , – mos mërekullonii aqë ndjerë nd anët ncë mangut , qi të gjeeni , po se ende kaqë ku kam mundunë me e mbaruom .	Kështu mos u vijë gjë keq për to, sepse atëherë disa duke qenë puna për të ngutur , disa unë duke qenë vetëm e jo aq vesht ndjerë në anët , disa shtypësit duke mos ditur gjuhën , – mos u mrekulloni aq ndjerë nd anët ncë mangut , që të gjeni , po se ende kaq ku kam ta mbaroj .
E tashti , tue mos dashunë maa tej me ngjatunë , jo tjetërë veçëse , – mbasi u jam porësitunë ndr ato shinte uratë , qi jemi detuor njani për tjetërit , – u rekumendonj e u porësit ashtu ende gjith atë popullë e kërshtënim , qi kini ndaj vetëhenë , e aqë maa tepërë ata , qi kini marrë përpara vetii e nzotunë posikuur bariu grigjnë me i ruojtunë ndër gjithë saa janë kafshë të shpiirtit , – ashtu qi ndeevonë u pr uratë-tuoj e për të madhet mëshërier të Tinëzot , e ju për të nzyyrmit e fëdigët e kujdes-taaj , e ata për të prunjëtit e obedienciet e ndimët të korpit , qi t u banjënë gjithë ncë bashku , a t a kishnjimë atë fat me u paam njani me tjetërit ndë parriisit e regjënii-të qiellet , ke ndaj engjiit e ndaj shintënit të lëvdojmë shintinë emënitë e tii për gjithë jetë-të jetësë .	E tashti , duke mos dashur më tej të zgjatem , jo tjetër veçse , – mbasi unë jam porositur ndër atë të shenjtë uratë , që jemi borxhlinj ndaj njëri-tjetrit , – u rekumendoj e u porosit ashtu edhe gjith atë popull e krishterim , që keni ndaj vetes , e aq më tepër ata , që keni marrë përpara vetes e nzotunë posi bariu grigjën për të ruajtur ndër gjithë sa janë gjëra të shpirtit , – ashtu që më vonë u për uratën tuaj e për të madhe mëshërier të Tinëzot , e ju për të nzyyrmit e lodhjen e kujdesin tuaj , e ata për të prunjëtit e obedienciet e ndimët të trupit, që të bëhen të gjithë së bashku , a ta kishim atë fat për t'u parë njëri me tjetrin në parajsë e mbretëri të qiellit , ke ndaj engjëllit e ndaj shenjtit të lëvdojmë shenjtin emrin e tij për gjithë jetë të jetës .
Amen , ashtu qoftë .	Amin , ashtu qoftë .
Prej Rome të 7. ditë ndë kallënduor ndë vietë-të Krishtit 1618 .	Prej Rome të 7-n ditë në kallnor të vitit 1618 të Krishtit .
Gaatii ndë gjithë shërbëtyrë , i prunjëti vëllai i zotëniisë saaj dom Pietrë Budi prej Gurit së Bardhë , vikari gjeneraal i Shurbiisë .	Gati në gjithë shërbim , i prunjëti vëllai i zotnisë suaj dom Pjetër Budi prej Gurit të Bardhë , vikari i përgjithshëm i Serbisë .
Doktrina tashti mbë këtë arrësye vuum e ndërequnë për ndimët e të mpsuomi-të t kërshtenëvet .	Doktrina tashti për këtë arsye vënë e ndrequr për ndihmën e mësimin e të krishterëve .
ti njaj mbramje , tue folë me gjakont të vet njanënë fjalë e tietërënë e aqë maa tepërë themelit së shintesë fee e jetet s amëshuome , për ndimët e të mpsuomit të tjerëvet pyeti një ncish maa të diijtëshiminë tue i thanë , se : A jee ti i kërshtenë ? – përse këjo ashtë themeli e kryetë e gjithë kafshëvet për të shelbuom .	Thotë , se prifti një mbrëmje , duke folur me dhjakun e vet njërën fjalë e tjetrën e aq më tepër themelit të së shenjtës fe e jetës së amshuar , për ndimën e mësimin e të tjerëve pyeti një syresh më të dijshmin duke i thanë , se : A je ti i krishterë ? – përse kjo është themeli e kryet e gjithë gjërave për të shëlbuar .
E dhjaku, që e dinte mirë arsyen , se si duhet të përgjigjej, bukur gojëplot mbet e i tha , se : Jam për hir të Krishtit mëshirëplotë , zotit tonë .	E gjakoni , qi mirë e diij arrësyenë , se si duhetë me j rresponduom , bukur gojëplot mbet e j tha , se : Jam për hiirt të Krishtit mëshëriershim , zotit tynë .
E prifti : Qish kafshë do me thanë i kërshtenë ?	E prifti : Çfarë do të thotë i krishterë ?
E dhjaku: I krishterë tjetër s'do të thotë veçse një , që me gjithë zemër e shpresë beson në fenë e shenjtë të Krishtit mëshirëplotë, zotit tonë .	E gjakoni : I kërshtenë tjetër s do me thanë veçëse një , qi me gjithë zemërë e shpëresë mbeson mbë shintet fee të Krishtit mëshëriershim , zotit tynë .
E prifti : A mun a diish ti , se ndë se mbahetë feeja e Krishtit ?	E prifti : A mund ta diish ti , se në se mbahet feja e Krishtit ?
E dhjaku : Mbahetë ndër dyy të tinëzshime , qi janë mbuluom ndëne të baamit të shintesë kryyq , së nciashit njana kallëzon , se Zotyynë i mëshëriershimi , tue qenë ndë tre vetë , ashtë nja i vetëmi .	E gjakoni : Mbahet ndër dy të fshehta , që janë mbuluar nën të bërit të kryqit të shenjtë , nga të cilat njëra kallëzon se Zoti ynë i mëshirshëm , duke qenë në tre veta , është një i vetëm .
E tjetëra ashtë t ardhunitë mbë këtë jetë e të leemitë e muundinë e mortnë e Krishtit mëshëriershim , zotit tynë .	E tjetra është të ardhurit në këtë jetë e të lindurit e mundin e mortin e Krishtit të mëshirshëm , zotit tonë .
E prifti : Pa më thuo , se : Mbë qish arrësye ndëgjonetë këja fjalë ‘ ndë tre vetë një i vetëmë Zotyynë ’ ?	E prifti : Pa më thuaj , se : Në ç'arsye kuptohet kjo fjalë ‘ në tre vetë një i vetëm Zoti ynë ’ ?
E gjakoni : Përse ndë Tenëzotnë ashtë një e vetëme zotënii , e njaj natyre i paadaam , maa ashtë ndë tre vetë , qi quhenë Ati e Biri e Shpiirti Shint .	E dhjaku: Sepse në Tënëzonë është një e vetme zotni , e një natyre i pandarë , po është në tre veta , që quhen Ati e Biri e Shpirti i Shenjtë .
E prifti : Doe të m a thoshnje këtë fjalë ende maa nçelë ? – ndë mos , ndoonee me qishdo shemëllëtyrë të kësaaj jete , veçëse qi të mundnjë ende maa mirë me e ndëgjuom , se si e mbë qish arrësye munë ndëgjonetë këjo ‘ ndë tre vetë një i vetëmë Zotyynë ’ .	E prifti : Do të ma thoshje këtë fjalë edhe më çelë ? – në mos , ndoonee me çdo shembëlltyrë të kësaj jete , veçse që të mundë edhe më mirë për ta kuptuar , se si e për ç'arsye mund të kuptohet kjo ‘ në tre veta një i vetëm Zoti ynë ’ .
E gjakoni për shemëllëtyrë mbet e j tha , se : Pakmos mbë këtë arrësye .	E dhjaku për shembëllëtyrë mbeti e i tha , se : Pakmos për këtë arsye .
Një herë nji i kërshtenë e një xhudhii tue kundrështuom njani me tjetërit , xhudhiu , posi i paafee qi ish , mbet e j tha , se : Si munë jeetë Ati e Biri e Shpiirti Shint një i vetëmë Zotyynë ?	Një herë një i krishterë e një hebre duke kundrështuar njëri-tjetrin , hebreu, si i pafe që ish , mbet e i tha , se : Si mund të jetë Ati e Biri e Shpirti i Shenjtë një i vetëm Zoti ynë ?
E aj i kërshteni , ndoonëse s ish aqi i diijtëshim , – thoshnje , se ndë një ças Shpiirti Shint j a shtiu ndë mend me j thanë , se : Si munë jeetë ujëtë e vdora e akulli të tre nja ?	E ai i krishteri , ndonëse s ish aq i dijshëm – të thuash, se në një çast Shpirti i Shenjtë ia shtiu ndër mend t'i thotë , se : Si mund të jetë ujët e bora e akulli të tre një ?
