source	gold	translation	BLEU score
CAPITULO V .	CAPÍTULO V.	Capítulo V.	55.03212081491043
Do Catarrho .	Do Catarro.	o Catarrho.	27.516060407455225
Ainda que o catarrho naõ seja ordinariamente huma doença perigosa , com tudo naõ he menos verdade , que quando elle he desprezado, póde chegar a fazer-se tal ; en tenho conhecido Marinheiros , que morreraõ de tysica , em consequencia de hum catarrho desprezado .	Ainda que o catarro não seja ordinariamente uma doença perigosa, com tudo não é menos verdade, que quando ele é desprezado, pode chegar a fazer-se tal; eu tenho conhecido Marinheiros, que morreram de tísica, em consequência de um catarro desprezado.	mesmo que a catarrhal não seja ordinariamente humana doença perigosa, com tudo não é menos verdade, que quando ela desprezou, pode chegar a fazer-se tal; em conheço Marinheiros, que morrerá de tysica, em consequência de um catarrhal desprezado.	49.91667730507157
Ordinariamente julga-se , que naõ he precizo fazer remedio algum para curar o catarrho , e que quanto mais remedios se lhe fazem , mais elle dura , mas isto he hum erro popular ; porque o catarrho he huma doença , que se trata como as outras , e que se cura com remedios apropriados á natureza do mal.	Ordinariamente julga-se, que não é preciso fazer remédio algum para curar o catarro, e que quanto mais remédios se lhe fazem, mais ele dura, mas isto é um erro popular; porque o catarro é uma doença, que se trata como as outras, e que se cura com remédios apropriados à natureza do mal.	, e que quanto mais remédios se lhe façam, mais ela dura, mas isto é um erro popular; porque o catarrho é uma doença humana, que se trata como as outras, e que se cura com remédios apropriados à natureza do mal.	59.680242815823135
Os que os desprezaõ , ou que fazem outros contrarios , aprendem à sua custa , o quaõ caro lhe sahe o terem-se conduzido mal .	Os que os desprezam, ou que fazem outros contrários, aprendem à sua custa, o quão caro lhe sai o terem-se conduzido mal.	que os despreza, ou que fazem outros contrários, aprendem a sua custa, o quaõ caro lhe sahe o terem sido conduzido mal.	45.30799450827704
Ha entre os Marinheiros a respeito do catarrho huma preoccupaçaõ perigosa , que tem custado a vida a muitos delles ; julgaõ , que a sangria he contraria ao defluxos ; de forte que succede todos os dias , que hum Marinheiro atacado de hum defluxo de peito , de hum pleuriz , naõ se quer deixar sangrar , quando se lhe propõe , com o pretexto de que tem tosse , e que a sua doença naõ he senaõ hum defuxo ; eu tenho conhecido muitas victimas de similhante preoccupaçaõ ; eu concordaria com elles , que a sangria naõ he necessaria para curar hum simples defluxo , e que quando esta doença he benigna , ella se cura ordinariamente sem o soccorro da sangria; mas he falso , que a sangria seja contraria á cura do defluxo ; eu accrescento mesmo , que ella he muito necessaria em certas especies , principalmente quando a febre , a inflammaçaõ do peito , e a oppressaõ saõ fortes , quando a expectoraçaõ , ou sahida dos escarros se faz com dificuldade ; porque se se desprezar a sangria em taes circunstancias , faz-se a doença muitas vezes mais seria , e grave , muda de natureza ; e mata os doentes , o que succede muitissimas vezes ; o menor mal , que dahi se poderia seguir he , que hum tal catarrho , que se teria curado no espaço de sete para oito dias com huma , ou duas sangrias feitas quando era conveniente , dura muitas semanas sem contar os riscos , em que incorrem os doentes ; e com effeito ninguem ignora , que o defluxo seja huma accumulaçaõ inflammatoria das partes , aonde elle tem o seu assento : ora todos os Professores da Arte sabem , que a sangria he o unico , o mais seguro , e o mais prompto remedio para curar todas as especies de infammações ; logo póde-se , e deve-se mesmo sangrar no defluxo , quando a febre fôr violenta , quando esta durar mais de vinte e quatro horas , quando a tosse fôr forte , a pretas violenta , e quando o pulfo fôr cheio , e duro .	Há entre os Marinheiros a respeito do catarro uma preocupação perigosa, que tem custado a vida a muitos deles; julgam, que a sangria é contraria ao defluxos; de forte que sucede todos os dias, que um Marinheiro atacado de um defluxo de peito, de um pleuris, não se quer deixar sangrar, quando se lhe propõe, com o pretexto de que tem tosse, e que a sua doença não é senão um defluxo; eu tenho conhecido muitas vítimas de semelhante preocupação; eu concordaria com eles, que a sangria não é necessária para curar um simples defluxo, e que quando esta doença é benigna, ela se cura ordinariamente sem o socorro da sangria; mas é falso, que a sangria seja contraria à cura do defluxo; eu acrescento mesmo, que ela é muito necessária em certas espécies, principalmente quando a febre, a inflamação do peito, e a opressão são fortes, quando a expectoração, ou saída dos escarros se faz com dificuldade; porque se se desprezar a sangria em tais circunstancias, faz-se a doença muitas vezes mais séria, e grave, muda de natureza; e mata os doentes, o que sucede muitíssimas vezes; o menor mal, que daí se poderia seguir é, que um tal catarro, que se teria curado no espaço de sete para oito dias com uma, ou duas sangrias feitas quando era conveniente, dura muitas semanas sem contar os riscos, em que incorrem os doentes; e com efeito ninguém ignora, que o defluxo seja uma acumulação inflamatória das partes, aonde ele tem o seu assento: ora todos os Professores da Arte sabem, que a sangria é o único, o mais seguro, e o mais pronto remédio para curar todas as espécies de inflamações; logo pode-se, e deve-se mesmo sangrar no defluxo, quando a febre for violenta, quando esta durar mais de vinte e quatro horas, quando a tosse for forte, a pretas violenta, e quando o pulso for cheio, e duro.	entre os marinheiros em relação ao catarrho humano preoccupaçaõ perigosa, que tem custado a vida a muitas várias; julgaõ, que a sangria eu contraria ao defluxo; de forte que sucede todos os dias, que hum marinheiro atacado de um defluxo de peito, de hum pleuriz, não quer deixar sangrar, quando se lhe propõe, com o pretexto de que tem tosse, e que sua doença não he sená um defluxo; eu conheci muitas vítimas de semelhante preoccupaçaõ; concordaria com elas, que a sangria não necessaria para curar um simples defluxo, e que quando esta doença é benigna, ela se cura ordinariamente sem o socorro da sangria; mas eu falso, que a sangria seja contrária à cura do defluxo; acrescento mesmo, que ela tenho muito necessária em certas espécies, principalmente quando a febre, a inflamação do peito, e a oppresssaõ saõ fortes, quando a expectoraçaá, ou sahida dos escarros se faça com dificuldade; porque se se desprezar a sangria em tais circunstâncias, faz-se a doença muitas vezes mais séria e grave, muda de natureza; e mata os doentes, o que acontece muitas vezes; o menor mal, que dái se poderia seguir he, que hum tal catarrho, que se teria curado no espaço de sete a oito dias com humana, ou duas sangradas feitas quando era conveniente, dura muitas semanas sem contar os riscos, em que incorrem os doentes; e com efeito ninguém ignora, que o defluxo seja humano acumula-o inflamatória das partes, onde ela tem o seu assento: todos os professores da Arte sabem que a sangria é o único, o mais seguro, e o mais rápido remédio para curar todas as espécies de inflamações; logo pode-se, e deve-se mesmo sangrar no defluxo, quando a febre for violenta, quando esta durar mais de vinte e quatro horas, quando a tosse for forte, a pretas for violenta, e quando o polvo for cheio e dura.	67.44470323804049
As especies de defluxo saõ tres ; a primeira ataca as partes que forraõ interiormente as ventas , o seio que occupa a parte inferior , e media do osso frontal , que se chama feio frontal , e outras duas cavidades , que estaõ entre os ossos da maxilla superior , que se chamaõ tambem feios maxillares , e este se chama defluxo do cerebro ; o segundo ataca o fundo da garganta ; o terceiro finalmente ataca a laringe , que he o canal , que vai da bocca acabar em o bofe , e se chama catarrho do peito ; a infammaçaõ communica-se muitas vezes de huma parte á outra , e algumas vezes ellas saõ atacadas todas ao mesmo tempo , o que faz o catarrho mais perigoso , e mais dificil de curar .	As espécies de defluxo são três; a primeira ataca as partes que forram interiormente as ventas, o seio que ocupa a parte inferior, e média do osso frontal, que se chama feio frontal, e outras duas cavidades, que estão entre os ossos da maxila superior, que se chamam também feios maxilares, e este se chama defluxo do cérebro; o segundo ataca o fundo da garganta; o terceiro finalmente ataca a laringe, que é o canal, que vai da boca acabar em o bofe, e se chama catarro do peito; a inflamação comunica-se muitas vezes de uma parte à outra, e algumas vezes elas são atacadas todas ao mesmo tempo, o que faz o catarro mais perigoso, e mais difícil de curar.	as espécies de defluxo surgem três; a primeira ataca as partes que forraó internamente as vendas, o seno que ocupa a parte inferior, e a média do osso frontal, que se chama feio frontal, e outras duas cavidades, que está entre os ossos da maxila superior, que se chama também feios maxillares, e este é chamado defluxo do cérebro; o segundo ataca o fundo da garganta; o terceiro finalmente ataca a laringe, que he o canal, que vai da boca acabar no bolso, e se chama catarrho do peito; a infammaçao comunica-se muitas vezes de humana parte à outra, e às vezes elas saí atacadas todos ao mesmo tempo, o que torna o catarrho mais perigoso e mais difícil de curar.	61.87476224144548
Se as alternativas do ár , a intemperança das estações , e a inconstancìa dos tempos produzem frequentemente catarrhos entre os que habitaõ as Cidades , com quanta maior razaõ os Marinheiros , que continuamente estaõ expostos a todas as intemperanças do ár , e que mudaõ , por assim dizer , todos os dias de clima , deveráõ estar sujeitos aos defluxos ; he verdade , que esta doença raras vezes he mortal ; mas se se despreza , como eu já disse , e se se naõ trata , como deve ser , entaõ póde vir a ser mortal , degenerando em defluxo de peito , em pleuriz , ou em peripneumonia .	Se as alternativas do ar, a intemperança das estações, e a inconstância dos tempos produzem frequentemente catarros entre os que habitam as Cidades, com quanta maior razão os Marinheiros, que continuamente estão expostos a todas as intemperanças do ar, e que mudam, por assim dizer, todos os dias de clima, deverão estar sujeitos aos defluxos; é verdade, que esta doença raras vezes é mortal; mas se se despreza, como eu já disse, e se se não trata, como deve ser, então pode vir a ser mortal, degenerando em defluxo de peito, em pleuris, ou em peripneumonia.	Se as alternativas do ár, a intemperancia das estações e a inconstância dos tempos produzem frequentemente catarrhos entre os que habita as Cidades, com quanto maior razaó os marinheiros, que estão constantemente expostos a todas as intemperanças do ár, e que muda, por assim dizer, todos os dias de clima, deverá estar sujeitos aos defluxos; he verdade, que esta doença raramente tenho mortal; mas se despreza, como eu já disse, e se não trata, como deve ser, então pode vir a ser mortal, degenerando em defluxo de peito, em pleuriz, ou em peripneumonia.	61.590040346218515
A causa mais ordinaria dos catarrhos he huma transpiraçaõ embaraçada , ou diminuida , hum sangue disposto para a inflammaçaõ , que produz o defluxo de peito , e as outras doenças , que reinaõ ao mesmo tempo , que o defluxo ; e todos os dias se está observando ; que os symptomas , que caracterizaõ o defluxo , saõ pouca diferentes dos que acompanhaõ estas outras doenças .	A causa mais ordinária dos catarros é uma transpiração embaraçada, ou diminuída, um sangue disposto para a inflamação, que produz o defluxo de peito, e as outras doenças, que reinam ao mesmo tempo, que o defluxo; e todos os dias se está observando; que os sintomas, que caracterizam o defluxo, são pouca diferentes dos que acompanham estas outras doenças.	a causa mais comum das catarrhas é a transpiração humana grávida, ou diminuída, um sangue disponível para a inflamação, que produz o defluxo de peito, e as outras doenças, que reina ao mesmo tempo, que o defluxo; e todos os dias se está observando; que os sintomas, que caracteriza o defluxo, são pouca diferentes dos que acompanham essas outras doenças.	70.87539177847862
E com effeito elle he precedido , como ellas de tremor , de febre , de dôr de cabeca , de difficuldade de respirar ; a tosse vem ao depois ; ella he secca nos primeiros dias , e naõ se faz expectoraçaõ alguma de escarros ; pouco a pouco elles se vaõ formando , vaõ-se fazer do de hum dia para outro brancos , mais grossos , e sahem com menos difficuldade : todos os symptomas se moderaõ entaõ , se diminuem , e diz-se , que o catarrho está cozido .	E com efeito ele é precedido, como elas de tremor, de febre, de dor de cabeça, de dificuldade de respirar; a tosse vem ao depois; ela é seca nos primeiros dias, e não se faz expectoração alguma de escarros; pouco a pouco eles se vão formando, vão-se fazer do de um dia para outro brancos, mais grossos, e saem com menos dificuldade: todos os sintomas se moderam então, se diminuem, e diz-se, que o catarro está cozido.	e com efeito ela precedei, como elas de tremor, de febre, de dor de cabeça, de dificuldade de respirar; a tosse vem depois; ela eu seco nos primeiros dias, e não se faz expectoraçaõ alguma de escarros; pouco a pouco elas se vai formando, vai-se fazer do de um dia para outro brancos, mais grossos, e sahem com menos dificuldade: todos os sintomas se moderaõ entaõ, se diminuem, e diz-se que o catarrho está cozido.	64.90136416993046
