source	gold	translation	BLEU score
CAPITULO V .	CAPÍTULO V.	CAPÍTULO V.	100.00000000000004
Do Catarrho .	Do Catarro.	Do Catarrho.	34.66806371753173
Ainda que o catarrho naõ seja ordinariamente huma doença perigosa , com tudo naõ he menos verdade , que quando elle he desprezado, póde chegar a fazer-se tal ; en tenho conhecido Marinheiros , que morreraõ de tysica , em consequencia de hum catarrho desprezado .	Ainda que o catarro não seja ordinariamente uma doença perigosa, com tudo não é menos verdade, que quando ele é desprezado, pode chegar a fazer-se tal; eu tenho conhecido Marinheiros, que morreram de tísica, em consequência de um catarro desprezado.	Ainda que o catarrho não seja ordinariamente perigosa, com tudo é menos verdade, que quando ela é desprezado, que quando ela é desprezado, póde chegar a fazer tal, que morreram de tisica, em consequencia de um catarrho desprezado.	30.498977503200372
Ordinariamente julga-se , que naõ he precizo fazer remedio algum para curar o catarrho , e que quanto mais remedios se lhe fazem , mais elle dura , mas isto he hum erro popular ; porque o catarrho he huma doença , que se trata como as outras , e que se cura com remedios apropriados á natureza do mal.	Ordinariamente julga-se, que não é preciso fazer remédio algum para curar o catarro, e que quanto mais remédios se lhe fazem, mais ele dura, mas isto é um erro popular; porque o catarro é uma doença, que se trata como as outras, e que se cura com remédios apropriados à natureza do mal.	Ordinariamente julga-se, que é preciso fazer algum remédio para curar o catarrho, que é um erro popular, mas que é um erro popular, mas que é um erro popular, mas que é um erro popular, mas que se trata como as outras, e que se trata como as outras, e	29.453786647702564
Os que os desprezaõ , ou que fazem outros contrarios , aprendem à sua custa , o quaõ caro lhe sahe o terem-se conduzido mal .	Os que os desprezam, ou que fazem outros contrários, aprendem à sua custa, o quão caro lhe sai o terem-se conduzido mal.	Os que os desprezaão, ou que fazem outros contrários, aprendem à sua custa, aprendem ao seu caro, o que lhe é conduzido mal.	52.1293092410309
Ha entre os Marinheiros a respeito do catarrho huma preoccupaçaõ perigosa , que tem custado a vida a muitos delles ; julgaõ , que a sangria he contraria ao defluxos ; de forte que succede todos os dias , que hum Marinheiro atacado de hum defluxo de peito , de hum pleuriz , naõ se quer deixar sangrar , quando se lhe propõe , com o pretexto de que tem tosse , e que a sua doença naõ he senaõ hum defuxo ; eu tenho conhecido muitas victimas de similhante preoccupaçaõ ; eu concordaria com elles , que a sangria naõ he necessaria para curar hum simples defluxo , e que quando esta doença he benigna , ella se cura ordinariamente sem o soccorro da sangria; mas he falso , que a sangria seja contraria á cura do defluxo ; eu accrescento mesmo , que ella he muito necessaria em certas especies , principalmente quando a febre , a inflammaçaõ do peito , e a oppressaõ saõ fortes , quando a expectoraçaõ , ou sahida dos escarros se faz com dificuldade ; porque se se desprezar a sangria em taes circunstancias , faz-se a doença muitas vezes mais seria , e grave , muda de natureza ; e mata os doentes , o que succede muitissimas vezes ; o menor mal , que dahi se poderia seguir he , que hum tal catarrho , que se teria curado no espaço de sete para oito dias com huma , ou duas sangrias feitas quando era conveniente , dura muitas semanas sem contar os riscos , em que incorrem os doentes ; e com effeito ninguem ignora , que o defluxo seja huma accumulaçaõ inflammatoria das partes , aonde elle tem o seu assento : ora todos os Professores da Arte sabem , que a sangria he o unico , o mais seguro , e o mais prompto remedio para curar todas as especies de infammações ; logo póde-se , e deve-se mesmo sangrar no defluxo , quando a febre fôr violenta , quando esta durar mais de vinte e quatro horas , quando a tosse fôr forte , a pretas violenta , e quando o pulfo fôr cheio , e duro .	Há entre os Marinheiros a respeito do catarro uma preocupação perigosa, que tem custado a vida a muitos deles; julgam, que a sangria é contraria ao defluxos; de forte que sucede todos os dias, que um Marinheiro atacado de um defluxo de peito, de um pleuris, não se quer deixar sangrar, quando se lhe propõe, com o pretexto de que tem tosse, e que a sua doença não é senão um defluxo; eu tenho conhecido muitas vítimas de semelhante preocupação; eu concordaria com eles, que a sangria não é necessária para curar um simples defluxo, e que quando esta doença é benigna, ela se cura ordinariamente sem o socorro da sangria; mas é falso, que a sangria seja contraria à cura do defluxo; eu acrescento mesmo, que ela é muito necessária em certas espécies, principalmente quando a febre, a inflamação do peito, e a opressão são fortes, quando a expectoração, ou saída dos escarros se faz com dificuldade; porque se se desprezar a sangria em tais circunstancias, faz-se a doença muitas vezes mais séria, e grave, muda de natureza; e mata os doentes, o que sucede muitíssimas vezes; o menor mal, que daí se poderia seguir é, que um tal catarro, que se teria curado no espaço de sete para oito dias com uma, ou duas sangrias feitas quando era conveniente, dura muitas semanas sem contar os riscos, em que incorrem os doentes; e com efeito ninguém ignora, que o defluxo seja uma acumulação inflamatória das partes, aonde ele tem o seu assento: ora todos os Professores da Arte sabem, que a sangria é o único, o mais seguro, e o mais pronto remédio para curar todas as espécies de inflamações; logo pode-se, e deve-se mesmo sangrar no defluxo, quando a febre for violenta, quando esta durar mais de vinte e quatro horas, quando a tosse for forte, a pretas violenta, e quando o pulso for cheio, e duro.	Há entre os Marinheiros a respeito do catarrho de catarrho uma preocupação perigosa, que a sangria tem custado a vida a muitos dias, que a sangria é contra a vida a muitos dias, que a sangria é contra a vida a muitos dias, que a sangria é contra a A sangria seja contra á cura do defluxo, mas é falso, que a sangria seja contra a cura do defluxo, principalmente quando a febre seja contra a cura do defluxo, principalmente quando a febre seja contra a cura do defluxo, a inflammação do peito, e 1., que se pudesse seguir, que se pudesse seguir, que se pudesse seguir, que se pudesse seguir, que se pudesse seguir, que se pudesse seguir, que se pudesse seguir, que se pudesse seguir, que se pudesse seguir, que se pudesse seguir, que se pudesse seguir, que se teria curado O mais seguro, que a sangria é o único, que a sangria é o único, e o mais prompt remédio para curar todas as espécies de infammações, e o mais prompt remédio para curar todas as espécies de infammações, quando esta febre fôr violenta, quando esta febre	15.247299560557497
As especies de defluxo saõ tres ; a primeira ataca as partes que forraõ interiormente as ventas , o seio que occupa a parte inferior , e media do osso frontal , que se chama feio frontal , e outras duas cavidades , que estaõ entre os ossos da maxilla superior , que se chamaõ tambem feios maxillares , e este se chama defluxo do cerebro ; o segundo ataca o fundo da garganta ; o terceiro finalmente ataca a laringe , que he o canal , que vai da bocca acabar em o bofe , e se chama catarrho do peito ; a infammaçaõ communica-se muitas vezes de huma parte á outra , e algumas vezes ellas saõ atacadas todas ao mesmo tempo , o que faz o catarrho mais perigoso , e mais dificil de curar .	As espécies de defluxo são três; a primeira ataca as partes que forram interiormente as ventas, o seio que ocupa a parte inferior, e média do osso frontal, que se chama feio frontal, e outras duas cavidades, que estão entre os ossos da maxila superior, que se chamam também feios maxilares, e este se chama defluxo do cérebro; o segundo ataca o fundo da garganta; o terceiro finalmente ataca a laringe, que é o canal, que vai da boca acabar em o bofe, e se chama catarro do peito; a inflamação comunica-se muitas vezes de uma parte à outra, e algumas vezes elas são atacadas todas ao mesmo tempo, o que faz o catarro mais perigoso, e mais difícil de curar.	As espécies de defluxo, que se chama defluxo, que se chama defluxo, e outras duas cavidades, que se chama defluxo frontal, e outras duas cavidades, que se chama defluxo do cérebro, que se chama defluxo, e este se chama deflux	6.562108913619296
Se as alternativas do ár , a intemperança das estações , e a inconstancìa dos tempos produzem frequentemente catarrhos entre os que habitaõ as Cidades , com quanta maior razaõ os Marinheiros , que continuamente estaõ expostos a todas as intemperanças do ár , e que mudaõ , por assim dizer , todos os dias de clima , deveráõ estar sujeitos aos defluxos ; he verdade , que esta doença raras vezes he mortal ; mas se se despreza , como eu já disse , e se se naõ trata , como deve ser , entaõ póde vir a ser mortal , degenerando em defluxo de peito , em pleuriz , ou em peripneumonia .	Se as alternativas do ar, a intemperança das estações, e a inconstância dos tempos produzem frequentemente catarros entre os que habitam as Cidades, com quanta maior razão os Marinheiros, que continuamente estão expostos a todas as intemperanças do ar, e que mudam, por assim dizer, todos os dias de clima, deverão estar sujeitos aos defluxos; é verdade, que esta doença raras vezes é mortal; mas se se despreza, como eu já disse, e se se não trata, como deve ser, então pode vir a ser mortal, degenerando em defluxo de peito, em pleuris, ou em peripneumonia.	Se as alternativas do Árão, e a inconstanção das intemperância das estações, que estão expostas às quais os Marinheiros, e a inconstanção das intemperância das estações, que estão expostas às cidades, e que mudam, e a inconstanção das intemper	4.804551800692431
A causa mais ordinaria dos catarrhos he huma transpiraçaõ embaraçada , ou diminuida , hum sangue disposto para a inflammaçaõ , que produz o defluxo de peito , e as outras doenças , que reinaõ ao mesmo tempo , que o defluxo ; e todos os dias se está observando ; que os symptomas , que caracterizaõ o defluxo , saõ pouca diferentes dos que acompanhaõ estas outras doenças .	A causa mais ordinária dos catarros é uma transpiração embaraçada, ou diminuída, um sangue disposto para a inflamação, que produz o defluxo de peito, e as outras doenças, que reinam ao mesmo tempo, que o defluxo; e todos os dias se está observando; que os sintomas, que caracterizam o defluxo, são pouca diferentes dos que acompanham estas outras doenças.	A causa mais ordinaria dos catarrhos é uma transpiração embaraçada, ou diminuída, que produz o defluxo, que produz o defluxo, que produz o defluxo, que o defluxo, que o defluxo; e todos os dias se observando; e todos	30.290084612322786
E com effeito elle he precedido , como ellas de tremor , de febre , de dôr de cabeca , de difficuldade de respirar ; a tosse vem ao depois ; ella he secca nos primeiros dias , e naõ se faz expectoraçaõ alguma de escarros ; pouco a pouco elles se vaõ formando , vaõ-se fazer do de hum dia para outro brancos , mais grossos , e sahem com menos difficuldade : todos os symptomas se moderaõ entaõ , se diminuem , e diz-se , que o catarrho está cozido .	E com efeito ele é precedido, como elas de tremor, de febre, de dor de cabeça, de dificuldade de respirar; a tosse vem ao depois; ela é seca nos primeiros dias, e não se faz expectoração alguma de escarros; pouco a pouco eles se vão formando, vão-se fazer do de um dia para outro brancos, mais grossos, e saem com menos dificuldade: todos os sintomas se moderam então, se diminuem, e diz-se, que o catarro está cozido.	E com efeito de tremor, de tremor, de tremor, de tremor, de febre, de tremor, de tremor, de febre, de tremor, de tremor, de febre, de tremor, de febre, de tremor, de febre, de tremor, de febre	7.7480422363829895
