source	gold	translation	BLEU score
Të ciinë kafshë tue e gjegjunë , prifti mbet e j tha , se : Për të vërtetë , sikundrëse i flet me gojë , nd i mbeson ende me zemërë , këto kafshë kanë me të qenë për të madh frujt e dobii të shpiirtit , – e aqë maa tepërë mb atë arrësye , kuur të u a mpsonje e mirë të u a shtinje ndë mend ende tjerëve me j diijtunë .	Të cilën gjë duke e dëgjuar , prifti mbeti e i tha , se : Për të vërtetë , sikundërse i flet me gojë , në i beson ende me zemër , këto gjëra kanë për të qenë për të madh fryt e dobi të shpirtit , – e aq më tepër në atë arsye , kur t'ua mësojë e mirë t'ua shtijë në mend edhe të tjerëve për t'i ditur .	Ndërkaq, në një intervistë të mbajtur gjatë ditës së djeshme, ai tha: “Në të vërtetë, në qoftë se ju flisni me gojë, ju do të mbeteni me zemër, këto kafshë do të jenë frytet më të mëdha të frytit dhe të dobishme të shpirtit, dhe aq më tepër për këtë arsye, në qoftë se ju mund të mendoni për të tjerët me njohuri të mirë.	10.009490004852838
Përse kush të gjindeej , se shtie kundrë këtyne fjalëve – ndo makaar veçëse njaj së vetëmesë ncosh – qi të mos mbeson me gjithë zemërë , j atilli e se të bante gjithë të miratë e shekullit saa për të shelbuomit të shpiirtit , – asndoonjë ncosh s kish me j u përzanë as me j viejtunë , ashtu as regjëniinë e qiellet s kish me mundunë me e dobitunë .	Përse kush të gjendej , se shtie kundër këtyre fjalëve – ndo makar veçse një së vetmes sosh – që të mos beson me gjithë zemër , i atilli e se të bënte gjithë të mirat e shekullit sa për shëlbimin e shpirtit , – as ndonjë sosh s'kish t'ju përzinte as me i viejtunë , ashtu as mbretërinë e qiellit s'kish mundur ta dobitunë .	Përse, nëse dikush do t’i kundërshtojë këto fjalë, përveç atyre të vetmisë, nuk do të qëndrojë me gjithë zemër dhe do të bëjë të gjitha të mirat e shekullit për shpëtimin e shpirtit, askush nuk do të bashkohet as me botën, as mbretëria e qiejve nuk do të ketë mundësi më të dobishme?	7.957579366920604
Praashtu , a munë diish , se kush i kaa zanë fiill e folë maa parë këto shinte fjalë , qi ashtë të Mbesuomitë ?	Prandaj , a mund ta dish , se kush i ka zënë fiill e fol më parë këto të shenjta fjalë , që është të besuarit ?	A e dini se ç’do të ndodhë me ata që e kanë dëgjuar këtë lajm, apo me ata që e kanë dëgjuar atë?	2.1760747954876796
E gjakoni : Të dymbëdhjetë Apostujtë mb atë herë , kuur mbas mundimit e mortjet se Krishtit qenë mbushunë me rrezeet e dritët të Shpiirtit Shint e u daanë ndëpër gjithë rretht të shekullit me mpsuom e me predikuom shintinë ungjiill e feenë e Krishtit .	E dhjaku: Të dymbëdhjetë Apostujt atëherë , kur mbas mundimit e mortjes së Krishtit qenë mbushur me rrezet e dritës së Shpirtit Shenjtë e u ndanë ndëpër gjithë rreth të  botës për të mësuar e për të predikuar të shenjtin ungjill e fenë e Krishtit .	Të dymbëdhjetë apostujt në atë kohë, kur pas mundimit dhe vdekjes së Krishtit u mbushën me rreze të ndritshme të Frymës së Shenjtë dhe u përhapën nëpër tërë shekullin me anë të predikimit të ungjillit dhe të fesë së Krishtit.	3.744239072857991
Praashtu janë quojtunë dymbëdhjetë artikuj , sikuur thuose dymbëdhjetë nenje oo gjymptyrë , përse i siicilli ncish jo veçëse foli e tha të vetnë mposë , po ashtu ende me të madh kujdes e të nzyyrunë i shkruonë ndë letërë e j forcuonë mb atë arrësye , qi askuurraaj maa ndeevonë të mos vdaarenë e të mos meengonjënë tue urdhënuom ashtu ende , qi gjith i kërshtenë , oo burrë oo gruo të jeetë , detuor e mbaajtunë të jeetë këta artikuj e shinte fjalë sikundrëse vetë bukur me j diijtunë e me j mbesuom , ashtu ende me u a mpsuom djelmet e fëmiisë e gjith atyne , qi kanë ndënë urdhënë përmbrenda plangut e shtëpiisë vet , – ashtu qi disa me këto , disa ende me saa tjera vepëra të mira e të shelbuome të jeenë të plotë ndë shintet fee e të bahenë të denjëtë e lavdit Tinëzot e të gazimendit regjëniisë qiellet për gjithë jetë-të jetësë .	Prandaj janë quajtur dymbëdhjetë artikuj , sikur thuase dymbëdhjetë nyje o gjymtyrë , sepse secili syresh jo veçse foli e tha të vetën mposë , po ashtu edhe me të  madh kujdes e të nzyyrunë i shkruan në letër e i forcuan në atë arsye , që askurrë më vonë të mos humbin e të mos mëngojnë duke urdhëruar ashtu edhe , që gjithë i krishterë , o burrë o grua të jetë , detorës e mbajtur të jetë këta artikuj e të shenjtat fjalë sikundërse vetë bukur për t'i ditur e për t'i besuar , ashtu edhe për t'ua mësuar djemve të fëmiljes e gjith atyre , që kanë nën urdhër përmbrenda plangut e shtëpisë së vet , – ashtu që disa me këto , disa edhe me sa tjera vepra të mira e të shëlbuar të jenë të plotë në të shenjtën fe e të bëhen të denjët e lavdit të Tinëzot e të gazmendit të mbretërisë së qiellit për gjithë jetë të jetëve .	Në të njëjtën kohë u quajtën edhe dymbëdhjetë artikujt, kurse pothuajse dymbëdhjetë artikujt, pse siçili nuk fliste vetëm dhe tha se e kishte mposhtur vetveten, po ashtu me kujdes të madh dhe duke filluar t’i shkruante në letër dhe duke e forcuar atë, qi askuurraaj ma aevonë të mos vdiste e të mos më përmendë urdhërimet e mia, edhe pse të gjithë i kërkuan, o burrë o grua të jesh, i detyrueshëm dhe i detyruar t’i mbante këto artikujt e fjalët e shenjta, ndërsa vetvetja e dinte mirë dhe e mbante me vete, po ashtu edhe bijtë e fëmijëve të tërë të atit, qielli i ka urdhëruar Përveç kësaj, disa prej tyre janë të kënaqur me punët e mira dhe të shpëtueshme që do të jenë të plota në shenjën e lavdisë dhe do të jenë të denjë për lavdinë e Zotit të Ri dhe për mbretërinë e qiejve për gjithë jetën.	8.880540077486314
E prifti : Pa më thuo , se : Qish fjalë n krye mbahenë ndër këta artikuj e shinte kafshë , qi përmendmë përsipëri ?	E prifti : Pa më thuaj , se : Ç'fjalë në krye mbahen ndër këta artikuj e shenjta gjë, që përmendëm përsipër ?	Përgjigje: Çfarë do të thotë kjo për kafshët dhe kafshët e gjalla, të cilat do t’i përmendim më parë?	2.3583583590048818
E gjakoni : Jo tjetër maa tepërë veçëse na qesënë nee përpara syyvet e bukur na e nçelnjënë , se të ciatë kafshë na duhetë me mbesuom , e me qenë të tanë e të plotë ndë feet të Krishtit .	E dhjaku: Jo tjetër më tepër veçse na qesin ne përpara syve e bukur na e çelin , se të cilat gjëra na duhet të besojmë , e për të qenë të tërë e të plotë në fe të Krishtit .	Dhe gjakderdhje: Jo më tepër se sa të qeshim para syve të bukur dhe të kuptojmë se të gjitha kafshët na duhen me kujdes, dhe të jemi të plotë në këmbët e Krishtit.	6.832262571674556
Përse këta të tetë artikujtë e parë përkasënë ndersë Tinëzot , e katër të mbrapënitë shintesë kishë katolike .	Përse këta të tetë artikujt e parë i përkasin nderit të Tinëzot , e katër të prapmit së shenjtës kishë katolike .	Pse këto tetë artikujt e parë i përkasin nderit të Zotit, dhe katër të pasme shenjtorëve të Kishës Katolike.	36.604890309120414
E prifti : U fort dëshëronj , të më thoshnje gjaakafshë kënci artikullit së parë , qi të munë mar vesht , se si e mbaa e e kie forcuom ndë zemërë-tande .	E prifti : Unë fort dëshiroj , të më thoshje gjëkafshë kësi artikulli të parë , që të mundë të marrë vesh , se si e mban e e ke forcuar në zemrën tënde .	Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje: Përgjigje:	0.4622106633998758
E gjakoni bukur nçelë mbet e j tha , se : U tashti e gjithëherë me gjithë zemërë e shpëresë e mend e shqise e me gjithë forcët e fuqi-teme mbesonje mir e dii , se ashtë mirëfiilli e për të vërtetë një i vetëmë Zotyynë , i cilli me të dërejtë e të vërtetë arrësye ashtë Ati i njaj t vetëmit Birit vet , Krishtit mëshëriershim , Zotit tynë ;	E dhjaku bukur çelë mbet e i tha , se : U tashti e gjithherë me gjithë zemër e shpresë e mend e shqisë e me gjithë forcën e fuqinë time besoj e mir e di , se është mirëfilli e për të vërtetë një i vetëm Zoti ynë , i cilli me të drejtë e të vërtetë arsye është Ati i një të vetmit Bir të vet , Krishtit të mëshirshëm , Zotit tonë ;	“Dhe me gjithë zemër, me gjithë shpirt, me gjithë mendje, me gjithë fuqi, me gjithë fuqi, me gjithë fuqi, me gjithë zemër, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me gjithë shpirt, me	1.0692204852192224
