source	gold	translation	BLEU score
Të ciinë kafshë tue e gjegjunë , prifti mbet e j tha , se : Për të vërtetë , sikundrëse i flet me gojë , nd i mbeson ende me zemërë , këto kafshë kanë me të qenë për të madh frujt e dobii të shpiirtit , – e aqë maa tepërë mb atë arrësye , kuur të u a mpsonje e mirë të u a shtinje ndë mend ende tjerëve me j diijtunë .	Të cilën gjë duke e dëgjuar , prifti mbeti e i tha , se : Për të vërtetë , sikundërse i flet me gojë , në i beson ende me zemër , këto gjëra kanë për të qenë për të madh fryt e dobi të shpirtit , – e aq më tepër në atë arsye , kur t'ua mësojë e mirë t'ua shtijë në mend edhe të tjerëve për t'i ditur .	Në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë, në të vërtetë.	2.37811928617716
Përse kush të gjindeej , se shtie kundrë këtyne fjalëve – ndo makaar veçëse njaj së vetëmesë ncosh – qi të mos mbeson me gjithë zemërë , j atilli e se të bante gjithë të miratë e shekullit saa për të shelbuomit të shpiirtit , – asndoonjë ncosh s kish me j u përzanë as me j viejtunë , ashtu as regjëniinë e qiellet s kish me mundunë me e dobitunë .	Përse kush të gjendej , se shtie kundër këtyre fjalëve – ndo makar veçse një së vetmes sosh – që të mos beson me gjithë zemër , i atilli e se të bënte gjithë të mirat e shekullit sa për shëlbimin e shpirtit , – as ndonjë sosh s'kish t'ju përzinte as me i viejtunë , ashtu as mbretërinë e qiellit s'kish mundur ta dobitunë .	Përse, kush e gjeni që ka shkelur fjalët e tilla, që të mos qëndrojë me gjithë zemër, që të bëjë të gjitha të mirat e shekullit, që t’i shërbejë shpirti, që të mos ketë marrë me vete as me vete, as me mbretërinë e qiejve, që të mos ketë pasur me të dobëtit.	11.058727482731245
Praashtu , a munë diish , se kush i kaa zanë fiill e folë maa parë këto shinte fjalë , qi ashtë të Mbesuomitë ?	Prandaj , a mund ta dish , se kush i ka zënë fiill e fol më parë këto të shenjta fjalë , që është të besuarit ?	“A e di ti se kush e ka shkatërruar atë që e ka shkatërruar atë që e ka shkatërruar atë që e ka shkatërruar atë që e ka shkatërruar?	3.2677968802443296
E gjakoni : Të dymbëdhjetë Apostujtë mb atë herë , kuur mbas mundimit e mortjet se Krishtit qenë mbushunë me rrezeet e dritët të Shpiirtit Shint e u daanë ndëpër gjithë rretht të shekullit me mpsuom e me predikuom shintinë ungjiill e feenë e Krishtit .	E dhjaku: Të dymbëdhjetë Apostujt atëherë , kur mbas mundimit e mortjes së Krishtit qenë mbushur me rrezet e dritës së Shpirtit Shenjtë e u ndanë ndëpër gjithë rreth të  botës për të mësuar e për të predikuar të shenjtin ungjill e fenë e Krishtit .	Gjaku: Dymbëdhjetë Apostujt mbajnë atë herë, kur pas mundësimit të vdekjeve se Krishti ishte i mbushur me rrënjët e dritave të Shpirtit të Shenjtë dhe u shpërndarë në të gjithë rrethin e shekullit me mpsuom dhe me predikim shndritën ungjillin e besimit të Krishtit.	3.5918318502565207
Praashtu janë quojtunë dymbëdhjetë artikuj , sikuur thuose dymbëdhjetë nenje oo gjymptyrë , përse i siicilli ncish jo veçëse foli e tha të vetnë mposë , po ashtu ende me të madh kujdes e të nzyyrunë i shkruonë ndë letërë e j forcuonë mb atë arrësye , qi askuurraaj maa ndeevonë të mos vdaarenë e të mos meengonjënë tue urdhënuom ashtu ende , qi gjith i kërshtenë , oo burrë oo gruo të jeetë , detuor e mbaajtunë të jeetë këta artikuj e shinte fjalë sikundrëse vetë bukur me j diijtunë e me j mbesuom , ashtu ende me u a mpsuom djelmet e fëmiisë e gjith atyne , qi kanë ndënë urdhënë përmbrenda plangut e shtëpiisë vet , – ashtu qi disa me këto , disa ende me saa tjera vepëra të mira e të shelbuome të jeenë të plotë ndë shintet fee e të bahenë të denjëtë e lavdit Tinëzot e të gazimendit regjëniisë qiellet për gjithë jetë-të jetësë .	Prandaj janë quajtur dymbëdhjetë artikuj , sikur thuase dymbëdhjetë nyje o gjymtyrë , sepse secili syresh jo veçse foli e tha të vetën mposë , po ashtu edhe me të  madh kujdes e të nzyyrunë i shkruan në letër e i forcuan në atë arsye , që askurrë më vonë të mos humbin e të mos mëngojnë duke urdhëruar ashtu edhe , që gjithë i krishterë , o burrë o grua të jetë , detorës e mbajtur të jetë këta artikuj e të shenjtat fjalë sikundërse vetë bukur për t'i ditur e për t'i besuar , ashtu edhe për t'ua mësuar djemve të fëmiljes e gjith atyre , që kanë nën urdhër përmbrenda plangut e shtëpisë së vet , – ashtu që disa me këto , disa edhe me sa tjera vepra të mira e të shëlbuar të jenë të plotë në të shenjtën fe e të bëhen të denjët e lavdit të Tinëzot e të gazmendit të mbretërisë së qiellit për gjithë jetë të jetëve .	Në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë, në të njëjtën kohë. Disa ende me vepra të tjera të mira dhe të lavdishme për të ndriçuar tërësisht shigjetat e shigjetës dhe shigjetat e lavdisë së të rinjve dhe të mbretërisë së qiejve për të gjithë jetën.	1.9894713453127284
E prifti : Pa më thuo , se : Qish fjalë n krye mbahenë ndër këta artikuj e shinte kafshë , qi përmendmë përsipëri ?	E prifti : Pa më thuaj , se : Ç'fjalë në krye mbahen ndër këta artikuj e shenjta gjë, që përmendëm përsipër ?	Princi: Mos më thuaj: Në qoftë se fjalët e mësipërme mbahen në mes të këtyre artikujve dhe shiten kafshë, a do të përmendim përsosmërinë?	3.9936381761886635
E gjakoni : Jo tjetër maa tepërë veçëse na qesënë nee përpara syyvet e bukur na e nçelnjënë , se të ciatë kafshë na duhetë me mbesuom , e me qenë të tanë e të plotë ndë feet të Krishtit .	E dhjaku: Jo tjetër më tepër veçse na qesin ne përpara syve e bukur na e çelin , se të cilat gjëra na duhet të besojmë , e për të qenë të tërë e të plotë në fe të Krishtit .	Gjaku: Nuk ka tjetër tokë të tepërt përveç se na qesh para syve të bukur na ka shkatërruar, që kafshët e këqija na duhet me kujdes, dhe duke qenë ne të plotë të ndyrë këmbët e Krishtit.	4.501244565354853
Përse këta të tetë artikujtë e parë përkasënë ndersë Tinëzot , e katër të mbrapënitë shintesë kishë katolike .	Përse këta të tetë artikujt e parë i përkasin nderit të Tinëzot , e katër të prapmit së shenjtës kishë katolike .	Pse këto tetë artikujt e parë kanë të bëjnë me sinqeritetin e Kinezit, dhe katër të mbuluar shenjën e Kishës Katolike.	13.929083599454664
E prifti : U fort dëshëronj , të më thoshnje gjaakafshë kënci artikullit së parë , qi të munë mar vesht , se si e mbaa e e kie forcuom ndë zemërë-tande .	E prifti : Unë fort dëshiroj , të më thoshje gjëkafshë kësi artikulli të parë , që të mundë të marrë vesh , se si e mban e e ke forcuar në zemrën tënde .	Përgjigjja e parë është: “Mos harroni, mos harroni, mos harroni, mos harroni, mos harroni!	1.4154538104650274
E gjakoni bukur nçelë mbet e j tha , se : U tashti e gjithëherë me gjithë zemërë e shpëresë e mend e shqise e me gjithë forcët e fuqi-teme mbesonje mir e dii , se ashtë mirëfiilli e për të vërtetë një i vetëmë Zotyynë , i cilli me të dërejtë e të vërtetë arrësye ashtë Ati i njaj t vetëmit Birit vet , Krishtit mëshëriershim , Zotit tynë ;	E dhjaku bukur çelë mbet e i tha , se : U tashti e gjithherë me gjithë zemër e shpresë e mend e shqisë e me gjithë forcën e fuqinë time besoj e mir e di , se është mirëfilli e për të vërtetë një i vetëm Zoti ynë , i cilli me të drejtë e të vërtetë arsye është Ati i një të vetmit Bir të vet , Krishtit të mëshirshëm , Zotit tonë ;	Dhe gjaku i bukur qëndron dhe thotë: "Tani dhe gjithmonë me gjithë zemrën e shpëtuar, mendjen dhe mendjen, dhe me të gjitha forcat e fuqisë-temat e mbijetesës së mirë, që mirëqenia dhe me të vërtetë një Zotynë e vetme, të cilit me dëgjime të vërteta i është dhënë vetëm Ati i vetëm Birit të tij, Krishtit të pafajshëm, Zotit të pafajshëm.	5.477004502775766
