source	gold	translation	BLEU score
Të ciinë kafshë tue e gjegjunë , prifti mbet e j tha , se : Për të vërtetë , sikundrëse i flet me gojë , nd i mbeson ende me zemërë , këto kafshë kanë me të qenë për të madh frujt e dobii të shpiirtit , – e aqë maa tepërë mb atë arrësye , kuur të u a mpsonje e mirë të u a shtinje ndë mend ende tjerëve me j diijtunë .	Të cilën gjë duke e dëgjuar , prifti mbeti e i tha , se : Për të vërtetë , sikundërse i flet me gojë , në i beson ende me zemër , këto gjëra kanë për të qenë për të madh fryt e dobi të shpirtit , – e aq më tepër në atë arsye , kur t'ua mësojë e mirë t'ua shtijë në mend edhe të tjerëve për t'i ditur .	Të cilën gjë duke e gjegjur, prifti mbet e i tha, se : Për të vërtetë, sikundërse i flet me gojë, në i mbeson edhe me zemër, këto gjëra kanë për të qenë për të madh frytin e dobi të shpirtit, – e aq më tepër më atë arsye, kur të jetë mësimdhënie e mirë të jetë shtinje në mend edhe të tjerëve për t'i ditur.	68.72495463377642
Përse kush të gjindeej , se shtie kundrë këtyne fjalëve – ndo makaar veçëse njaj së vetëmesë ncosh – qi të mos mbeson me gjithë zemërë , j atilli e se të bante gjithë të miratë e shekullit saa për të shelbuomit të shpiirtit , – asndoonjë ncosh s kish me j u përzanë as me j viejtunë , ashtu as regjëniinë e qiellet s kish me mundunë me e dobitunë .	Përse kush të gjendej , se shtie kundër këtyre fjalëve – ndo makar veçse një së vetmes sosh – që të mos beson me gjithë zemër , i atilli e se të bënte gjithë të mirat e shekullit sa për shëlbimin e shpirtit , – as ndonjë sosh s'kish t'ju përzinte as me i viejtunë , ashtu as mbretërinë e qiellit s'kish mundur ta dobitunë .	Përse kush të gjendej, se shtjerë kundër këtyre fjalëve – ndo makar veçse një të vetmit syresh – që të mos mbesë me gjithë zemër, i atillë e se të bënte gjithë të mirat e botës sa për të shëlbuarit të shpirtit, – asndonjë syresh s'kish t'i përzinte as t'i vënë re, ashtu as mbretërinë e qiellit s'kish ta mundin ta dobisë.	47.45766400713598
Praashtu , a munë diish , se kush i kaa zanë fiill e folë maa parë këto shinte fjalë , qi ashtë të Mbesuomitë ?	Prandaj , a mund ta dish , se kush i ka zënë fiill e fol më parë këto të shenjta fjalë , që është të besuarit ?	Prandaj, a mund të diish, se kush i ka zënë fill e fol më parë këto të shenjta fjalë, që është të Mbesuarit?	68.15757064066385
E gjakoni : Të dymbëdhjetë Apostujtë mb atë herë , kuur mbas mundimit e mortjet se Krishtit qenë mbushunë me rrezeet e dritët të Shpiirtit Shint e u daanë ndëpër gjithë rretht të shekullit me mpsuom e me predikuom shintinë ungjiill e feenë e Krishtit .	E dhjaku: Të dymbëdhjetë Apostujt atëherë , kur mbas mundimit e mortjes së Krishtit qenë mbushur me rrezet e dritës së Shpirtit Shenjtë e u ndanë ndëpër gjithë rreth të  botës për të mësuar e për të predikuar të shenjtin ungjill e fenë e Krishtit .	E dhjaku: Të dymbëdhjetë Apostujt më atë herë, kur mbas mundimit e mortjet se Krishtit ishin mbushur me rrezeet e dritës së Shpirtit të Shenjtë e u bëën në gjithë rretht të botës për të mësuar e për të predikuar të shenjtin ungjill e fenë e Krishtit.	57.50727400333694
Praashtu janë quojtunë dymbëdhjetë artikuj , sikuur thuose dymbëdhjetë nenje oo gjymptyrë , përse i siicilli ncish jo veçëse foli e tha të vetnë mposë , po ashtu ende me të madh kujdes e të nzyyrunë i shkruonë ndë letërë e j forcuonë mb atë arrësye , qi askuurraaj maa ndeevonë të mos vdaarenë e të mos meengonjënë tue urdhënuom ashtu ende , qi gjith i kërshtenë , oo burrë oo gruo të jeetë , detuor e mbaajtunë të jeetë këta artikuj e shinte fjalë sikundrëse vetë bukur me j diijtunë e me j mbesuom , ashtu ende me u a mpsuom djelmet e fëmiisë e gjith atyne , qi kanë ndënë urdhënë përmbrenda plangut e shtëpiisë vet , – ashtu qi disa me këto , disa ende me saa tjera vepëra të mira e të shelbuome të jeenë të plotë ndë shintet fee e të bahenë të denjëtë e lavdit Tinëzot e të gazimendit regjëniisë qiellet për gjithë jetë-të jetësë .	Prandaj janë quajtur dymbëdhjetë artikuj , sikur thuase dymbëdhjetë nyje o gjymtyrë , sepse secili syresh jo veçse foli e tha të vetën mposë , po ashtu edhe me të  madh kujdes e të nzyyrunë i shkruan në letër e i forcuan në atë arsye , që askurrë më vonë të mos humbin e të mos mëngojnë duke urdhëruar ashtu edhe , që gjithë i krishterë , o burrë o grua të jetë , detorës e mbajtur të jetë këta artikuj e të shenjtat fjalë sikundërse vetë bukur për t'i ditur e për t'i besuar , ashtu edhe për t'ua mësuar djemve të fëmiljes e gjith atyre , që kanë nën urdhër përmbrenda plangut e shtëpisë së vet , – ashtu që disa me këto , disa edhe me sa tjera vepra të mira e të shëlbuar të jenë të plotë në të shenjtën fe e të bëhen të denjët e lavdit të Tinëzot e të gazmendit të mbretërisë së qiellit për gjithë jetë të jetëve .	Pra ashtu janë quajtur dybëdhjetë artikuj, sikur thuase dybëdhjetë njërë o gjymptyrë, përse i siçili syresh jo veçse foli e tha të vet mpos, po ashtu edhe me të madh kujdes e të nzyyrunë i shkruajnë në letër e i forcuar më atë arsye, që askurrkëndijë më pastaj të mos vdaren e të mos mungojnë duke urdhëruar ashtu edhe, që gjithë i krishterë, o burrë o grua të jetë, detorë e mbajtur të jetë ky artikuj e së shenjtës sikundërse vetë bukur për t'i ditur e për t'i mbajtur, ashtu edhe për t'u mësuar e për ta ndëruar gjithë, që kanë disa urdhërime, që ashtu për ta përmbushur njëri me vete, – që disa edhe me sa tjera vepra të mira e të shëlbuara të jenë të plotë në të shenjtat fe e të bjerë të denjët e lavdit të Tinëzot e të gazmendit mbretërisë së qiellit për gjithë jetë të jetës.	51.49294513591151
E prifti : Pa më thuo , se : Qish fjalë n krye mbahenë ndër këta artikuj e shinte kafshë , qi përmendmë përsipëri ?	E prifti : Pa më thuaj , se : Ç'fjalë në krye mbahen ndër këta artikuj e shenjta gjë, që përmendëm përsipër ?	E prifti : Pa më thuaj, se : Ç'gjë në krye mbahen ndër këto artikuj e të shenjta gjë, që përmendim përsipër?	55.86374486571748
E gjakoni : Jo tjetër maa tepërë veçëse na qesënë nee përpara syyvet e bukur na e nçelnjënë , se të ciatë kafshë na duhetë me mbesuom , e me qenë të tanë e të plotë ndë feet të Krishtit .	E dhjaku: Jo tjetër më tepër veçse na qesin ne përpara syve e bukur na e çelin , se të cilat gjëra na duhet të besojmë , e për të qenë të tërë e të plotë në fe të Krishtit .	E dhjaku: Jo tjetër më tepër veçse na cesën neve përpara syve e bukur na e çelin, se të cilat gjëra na duhet të mbesim, e me qenë të tyre e të plotë në këmbë të Krishtit.	63.785403700988276
Përse këta të tetë artikujtë e parë përkasënë ndersë Tinëzot , e katër të mbrapënitë shintesë kishë katolike .	Përse këta të tetë artikujt e parë i përkasin nderit të Tinëzot , e katër të prapmit së shenjtës kishë katolike .	Përse këta të tetë artikujt e parë i përkasin ndershëm Tinëzot, e katër të mbrapënit të shenjtës kishë katolike.	64.87354270629037
E prifti : U fort dëshëronj , të më thoshnje gjaakafshë kënci artikullit së parë , qi të munë mar vesht , se si e mbaa e e kie forcuom ndë zemërë-tande .	E prifti : Unë fort dëshiroj , të më thoshje gjëkafshë kësi artikulli të parë , që të mundë të marrë vesh , se si e mban e e ke forcuar në zemrën tënde .	E prifti : U fort dëshiroj, të më thashë gjëkafshë këshi i parë i artikullit, që të mund të maret vesht, se si e mban e e kie forcuar në zemër tënde.	36.09623953161198
E gjakoni bukur nçelë mbet e j tha , se : U tashti e gjithëherë me gjithë zemërë e shpëresë e mend e shqise e me gjithë forcët e fuqi-teme mbesonje mir e dii , se ashtë mirëfiilli e për të vërtetë një i vetëmë Zotyynë , i cilli me të dërejtë e të vërtetë arrësye ashtë Ati i njaj t vetëmit Birit vet , Krishtit mëshëriershim , Zotit tynë ;	E dhjaku bukur çelë mbet e i tha , se : U tashti e gjithherë me gjithë zemër e shpresë e mend e shqisë e me gjithë forcën e fuqinë time besoj e mir e di , se është mirëfilli e për të vërtetë një i vetëm Zoti ynë , i cilli me të drejtë e të vërtetë arsye është Ati i një të vetmit Bir të vet , Krishtit të mëshirshëm , Zotit tonë ;	E dhjaku bukur çelë mbet e i tha, se : U tashti e gjithherë me gjithë zemër e shpresë e mend e shqisa e me gjithë forcën e fuqi-teme mbesonje mirë e di, se është mirëfilli e për të vërtetë një i vetëm Zoti ynë, i cili me të drejta e të vërteta arsye është Ati i një t vetëm Birit të vet, Krishtit mëshirshëm, Zotit tonë ;	68.24103163210681
