source	gold	translation	BLEU score
Të ciinë kafshë tue e gjegjunë , prifti mbet e j tha , se : Për të vërtetë , sikundrëse i flet me gojë , nd i mbeson ende me zemërë , këto kafshë kanë me të qenë për të madh frujt e dobii të shpiirtit , – e aqë maa tepërë mb atë arrësye , kuur të u a mpsonje e mirë të u a shtinje ndë mend ende tjerëve me j diijtunë .	Të cilën gjë duke e dëgjuar , prifti mbeti e i tha , se : Për të vërtetë , sikundërse i flet me gojë , në i beson ende me zemër , këto gjëra kanë për të qenë për të madh fryt e dobi të shpirtit , – e aq më tepër në atë arsye , kur t'ua mësojë e mirë t'ua shtijë në mend edhe të tjerëve për t'i ditur .	Për të shtuar ato kafshët e tjera, prifti i madh i madh i priftit, i cili i kishte të drejtë, u tha: "Sepse, me të vërtetë, si më mëshiruat, si më më mëshiruat, si më mëshiruat dhe më mëshiruat më më të mëdhenj, këto kafshët do të ishin për një bollëk të madh dhe fryt të mirë të frytit të mirë të frytit të mirë të frytit të frytit të frytit të frytit të frytit të frytit të frytit të frytit të frytit të fryt të fryt të fryt të fryt të fryt të fryt të fryt të fryt të fryt të fryt të fryt të fryt të fryt të fryt të fryt të fryt të fryt të fryt të fryt	2.3378478295929623
Përse kush të gjindeej , se shtie kundrë këtyne fjalëve – ndo makaar veçëse njaj së vetëmesë ncosh – qi të mos mbeson me gjithë zemërë , j atilli e se të bante gjithë të miratë e shekullit saa për të shelbuomit të shpiirtit , – asndoonjë ncosh s kish me j u përzanë as me j viejtunë , ashtu as regjëniinë e qiellet s kish me mundunë me e dobitunë .	Përse kush të gjendej , se shtie kundër këtyre fjalëve – ndo makar veçse një së vetmes sosh – që të mos beson me gjithë zemër , i atilli e se të bënte gjithë të mirat e shekullit sa për shëlbimin e shpirtit , – as ndonjë sosh s'kish t'ju përzinte as me i viejtunë , ashtu as mbretërinë e qiellit s'kish mundur ta dobitunë .	Për më tepër, për të gjithë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo gjë, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo, për çdo,	0.29266715896766127
Praashtu , a munë diish , se kush i kaa zanë fiill e folë maa parë këto shinte fjalë , qi ashtë të Mbesuomitë ?	Prandaj , a mund ta dish , se kush i ka zënë fiill e fol më parë këto të shenjta fjalë , që është të besuarit ?	Për të të të të të të të të të të të të të të të të të, të të, të të, të të, të të, të të, të të, të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të	0.2690555672393133
E gjakoni : Të dymbëdhjetë Apostujtë mb atë herë , kuur mbas mundimit e mortjet se Krishtit qenë mbushunë me rrezeet e dritët të Shpiirtit Shint e u daanë ndëpër gjithë rretht të shekullit me mpsuom e me predikuom shintinë ungjiill e feenë e Krishtit .	E dhjaku: Të dymbëdhjetë Apostujt atëherë , kur mbas mundimit e mortjes së Krishtit qenë mbushur me rrezet e dritës së Shpirtit Shenjtë e u ndanë ndëpër gjithë rreth të  botës për të mësuar e për të predikuar të shenjtin ungjill e fenë e Krishtit .	Ky është gjaku: Gjaku: Dymbëbëdhjetë: Dymbëdhjetë: Apostolët: Në atë kohë: Dhjetë e dy: Dymbëdhjetë: Dymbëdhjetë: Apostolët: Në atë kohë: Dhjetë e dy: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbëdhjetë: Dymbë: Dymbë: Dymbë: Dymbë: Dymbë: Dymbë: Dymbë: Dymbë: D	0.4976852406340058
Praashtu janë quojtunë dymbëdhjetë artikuj , sikuur thuose dymbëdhjetë nenje oo gjymptyrë , përse i siicilli ncish jo veçëse foli e tha të vetnë mposë , po ashtu ende me të madh kujdes e të nzyyrunë i shkruonë ndë letërë e j forcuonë mb atë arrësye , qi askuurraaj maa ndeevonë të mos vdaarenë e të mos meengonjënë tue urdhënuom ashtu ende , qi gjith i kërshtenë , oo burrë oo gruo të jeetë , detuor e mbaajtunë të jeetë këta artikuj e shinte fjalë sikundrëse vetë bukur me j diijtunë e me j mbesuom , ashtu ende me u a mpsuom djelmet e fëmiisë e gjith atyne , qi kanë ndënë urdhënë përmbrenda plangut e shtëpiisë vet , – ashtu qi disa me këto , disa ende me saa tjera vepëra të mira e të shelbuome të jeenë të plotë ndë shintet fee e të bahenë të denjëtë e lavdit Tinëzot e të gazimendit regjëniisë qiellet për gjithë jetë-të jetësë .	Prandaj janë quajtur dymbëdhjetë artikuj , sikur thuase dymbëdhjetë nyje o gjymtyrë , sepse secili syresh jo veçse foli e tha të vetën mposë , po ashtu edhe me të  madh kujdes e të nzyyrunë i shkruan në letër e i forcuan në atë arsye , që askurrë më vonë të mos humbin e të mos mëngojnë duke urdhëruar ashtu edhe , që gjithë i krishterë , o burrë o grua të jetë , detorës e mbajtur të jetë këta artikuj e të shenjtat fjalë sikundërse vetë bukur për t'i ditur e për t'i besuar , ashtu edhe për t'ua mësuar djemve të fëmiljes e gjith atyre , që kanë nën urdhër përmbrenda plangut e shtëpisë së vet , – ashtu që disa me këto , disa edhe me sa tjera vepra të mira e të shëlbuar të jenë të plotë në të shenjtën fe e të bëhen të denjët e lavdit të Tinëzot e të gazmendit të mbretërisë së qiellit për gjithë jetë të jetëve .	Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Pra Disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa të tjerë, disa, disa të tjerë, disa të tjerë, disa, disa të tjerë, disa, disa të tjerë, disa, disa të tjerë, disa, disa, disa,	0.36125238648301955
E prifti : Pa më thuo , se : Qish fjalë n krye mbahenë ndër këta artikuj e shinte kafshë , qi përmendmë përsipëri ?	E prifti : Pa më thuaj , se : Ç'fjalë në krye mbahen ndër këta artikuj e shenjta gjë, që përmendëm përsipër ?	E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E Pri Pri Pri Pri Pri Pri Pri Pri Pri Pri Pri Pri Pri::: E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E::::::::::::::	0.23679896257692365
E gjakoni : Jo tjetër maa tepërë veçëse na qesënë nee përpara syyvet e bukur na e nçelnjënë , se të ciatë kafshë na duhetë me mbesuom , e me qenë të tanë e të plotë ndë feet të Krishtit .	E dhjaku: Jo tjetër më tepër veçse na qesin ne përpara syve e bukur na e çelin , se të cilat gjëra na duhet të besojmë , e për të qenë të tërë e të plotë në fe të Krishtit .	Një tjetër, i cili ka shumë të tjera, por nuk ka nevojë të bëjë asgjë, përveç të mos le të më në shesh të vetën e bukur dhe të bukur, të mos e dijë se çfarë kafshë duhet të më vras, të mos e dijë se çfarë kafshë duhet të më vras, të të jetë i plotë dhe i plotë, i plotë dhe i plotë në këmbët e Krishtit.	2.384503694315138
Përse këta të tetë artikujtë e parë përkasënë ndersë Tinëzot , e katër të mbrapënitë shintesë kishë katolike .	Përse këta të tetë artikujt e parë i përkasin nderit të Tinëzot , e katër të prapmit së shenjtës kishë katolike .	Përshqyru këto dy në këto tre artikuj, në këtë artikle të parë për të parë për për të parë për për të parë për të parë për të parë për të parë për të parë për për të parë për për për të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të	0.2775300457824248
E prifti : U fort dëshëronj , të më thoshnje gjaakafshë kënci artikullit së parë , qi të munë mar vesht , se si e mbaa e e kie forcuom ndë zemërë-tande .	E prifti : Unë fort dëshiroj , të më thoshje gjëkafshë kësi artikulli të parë , që të mundë të marrë vesh , se si e mban e e ke forcuar në zemrën tënde .	E: Prifti: E: Prifti: U: U: U: U fort deshir: U fort deshir: U U U fort deshir: U U fort deshir: U fort deshir: U fort deshir: U fort deshir: U fort deshir: U fort deshir: U fort deshir: U fort deshir: U fort deshir: U U U fort deshir: U U U fort deshir: U U U U fort deshir: U U U U fort deshir: U U U U fort deshir: U U U U U fort deshir: U U U U U fort deshir: U U U U fort deshir: U U U U fort deshir: U U U U U U U U U fort deshir: U U U U U U U U U U U U U U U U U U U U U U U U U U U U U U U U U U	0.2697462047526352
E gjakoni bukur nçelë mbet e j tha , se : U tashti e gjithëherë me gjithë zemërë e shpëresë e mend e shqise e me gjithë forcët e fuqi-teme mbesonje mir e dii , se ashtë mirëfiilli e për të vërtetë një i vetëmë Zotyynë , i cilli me të dërejtë e të vërtetë arrësye ashtë Ati i njaj t vetëmit Birit vet , Krishtit mëshëriershim , Zotit tynë ;	E dhjaku bukur çelë mbet e i tha , se : U tashti e gjithherë me gjithë zemër e shpresë e mend e shqisë e me gjithë forcën e fuqinë time besoj e mir e di , se është mirëfilli e për të vërtetë një i vetëm Zoti ynë , i cilli me të drejtë e të vërtetë arsye është Ati i një të vetmit Bir të vet , Krishtit të mëshirshëm , Zotit tonë ;	Ti ke bërë të bukur të bukur të të bukur të të bukur të të bukur të të bukur të të bukur të të bukur të të bukur të të bukur të të bukur të të bukur të të bukur të të bukur të bukur të bukur të bukur të bukur të bukur të bukur të bukur të bukur të bukur të bukur të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të	0.29266715896766127
e me gjith aqë hire të paanjefuna e të mira , qi na kaa baam ende po na ban , ashtë ati i mëshëriershim e prindi i gjithë feesë kërshtenë – j atyne , duo të thom , qi janë të prunjëtitë e të feeshimitë bijtë e tii , – e jo i disa madhështore kryëkecyem , qi me ato madhështiit e të paagjejshimit të vet janë daam n gjiut e sietullet së tii e mpshtetunë ndaj Luçifernë e mallëkuom .	e me gjithë aq hire të panjohura e të mira , që na ka bërë edhe po na bën , është ati i mëshirshëm e prindi i gjithë fesë së krishterë – i atyre , dua të them , që janë të përulëtit e të feshmitë bijtë e tij , – e jo i disa madhështore kryekëcyer , që me ato madhështitë e të paagjejshimit e vet janë dëm në gjirin e sqetullat e tij e mbështetur në Djallin e mallkuar .	Dhe më më mëshira më të madhe se të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të	0.28449876710209726
E ashtu ende për të kriijuomit : ashtë baasi e kriijuosi i gjithë krautyrëvet e aqi i puçtuoshim e j madh e j lëvduom , saa askuurraaj kandi e të madhtë e zotëniisë tii s munë dihetë ,   ashtu as gjuhet së n’jerëzet munë  kallëzonetë – posi këjo kafshë mirë munë njifetë , se asndoonjii kafshe veçëse me një fjalë të vetëmenë kriijoj e bani qiellë e dheenë e deetinë  me gjithë saa tjera krautyrë e kafshë kanë ndë vetëhenë – kafshë për mërekullë për të vërtetë , ke thonë doktorëtë e hollë , qi me aqë të madhet e te thellët urtët e die-të vet kanë matunë e diinë jo veçëse të naltëtë e qiellet e të largëtë e tyne njanënë n tjetëret , po ashtu ende të thellëtë e fundit ferrit e visetë e Limbit e të Burgatorit e gjithë të gjanëtë , të gjatëtë e të largëtë e rrethit shekullit – të ciitë jashtë saa ncë tjera mërekulliish jesënë e thonë , se veçëse një yyll i vetëmi ancish , qi dukenë mbë qiellt , ashtë ma j madh e j gjanë se gjithë rrethi i shekullit .	E ashtu edhe për të kriijuarit : është  bërësi e kriijuesi i gjithë krijesave e aq i puçtuoshim e i madh e i lëvduar , sa askurrkënd e të madhtë e zotërisë së tij s'mund të dihet , ashtu as me gjuhët e njerëzve s'mund të kallëzohet – posi kjo gjë mirë mund të njihet njihet , se as ndonjë gjë veçse me një fjalë të vetme kriijoi e bëri qiellin e dheun e detin me gjithë sa të tjera krijesa e gjëra kanë në vete – gjë për mrekulli për të vërtetë , tek thonë doktorët e hollë , që me aq të madhe e të thellë urtësi e dije të vet kanë matur e dinë jo vetëm të lartët e qiellit e të largëtit e tyre njanënë n tjetëret , po ashtu edhe të thellët e fundit të ferrit e viset e Limbit e të Purgatorit e gjithë gjerësinë , gjatësinë e largësinë e rrethit të dheut – të cilat jashtë sa së tjera mrekullish mbeten e thonë , se veçse një yll i vetëm asish , që në qiell , është më i madh e i gjerë se gjithë rrethi i botës.	E kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e kështu, e e e e, e e, e e e, e e e, e e e, e e, e e, e e e, e e, e, e e, e e, e e, e e, e e, e e, e e e, e e, e e e, e e Në të është baza dhe në it është baza dhe bazë e kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri kri	0.228150836626909
Praa , kuur veçëse një yyll i vetëmi ashtë ma j madh e j gjanë se gjithë rrethi i shekullit , kuur me mend të viij roe nierii e të kujton të gjanëtë e qiellet e të largëtë e tyne  njana n tjetëret e t ardhunitë e tyne rreth dheut e gjith aqë yj kuurraaj të paanjefunë , qi veçëse një ncish ashtë shumë ma j madh se gjithë të gjanëtë  e dheut , qi dheu na duketë nee , se askuurraaj kandi s i dihetë , e ashtu ende me kujtuom diellinë e hanënë e ndeevonë parriisinë me gjith aqë numurë e ushtërii të paanjefunë eengjiish e shintënish e dheenë e deetinë me gjithë saa krautyrë të paana e të paapaana kanë ndë vetëhe , – aj zot i mëshëriershim jo veçëse i kaa baam e kriijuom ,  posikundrëse thashë përsipëri , po ashtu ende gjithë saa janë sikuur një asgjaakafshë i mbaa ndë pëlangë- të dorësë j ruon e j guvernon e j vee roe aqë bukurë , saa mbë qiellt e mbë dheet e ndë fun-të deetit oo ndë ferrë e ndë burgatuor s munë gjindetë kafshë , qi të mundën me i kundrështuom oo me j u shtëmangunë atje , ke dora e vërtytja e tii të mos mundënte me j a mbëriim .	Pra , kur veçse një yll i vetëm është më i madh e i gjerë se gjithë rrethi i dheut kur me mend të vërejë njeriu e të kujtojë tëgjerësinë e qiellit e largësinë e tyre  njana n tjetëret e të ardhurit e tyre rreth dheut e gjithaq yj kurrë të panjohur , që veçse një syresh është shumë më i madh se gjithë gjerësia  e dheut , që dheu na duket ne , se askurrkënd s'i dihet , e ashtu edhe për të kujtuar diellin e hënën e pastaj parajsën me gjithaq numër e ushtri të panjohur engjëjsh e shenjtësh e dheun e detin me gjithë sa krijesa të paana e të papara kanë në vete , – ai zot i mëshirshëm jo veçse i ka bërë e kriijuar ,  posikundërse thashë përsipër , po ashtu edhe gjithë sa janë sikur një asgjëkafshë i mban në pëllëmbë- të dorës i ruan e i qeveris e i vëren aq bukur , sa më qiell e më dhe e në fund të detit o në ferr e në purgator s'mund të gjendet gjë, që të mund t'i kundërshtojë o t'i shamnget atje , ku dora e virtyti i tij të mos mundet t'ia mbërrijë .	Praa, Praa, Praa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Në postikundresin e postikundresin e postikundresin e postikundresin e thashë për të mir, për të mir, për të mir, për të mir, për të mir, për të mir, për të mir, për të mir, për të mir, për të mir, për të mir, për të mir, për të mir, për të të mir, për të të mir, për të të të, për të të, për të të, për të, për të, për të, për të, për të, për të, për të, për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për për	0.37158479125145344
Duo të thom , se , kuur këto kafshë gjithë kaqë të randa e të mëdhaa e kuurraaj të paanjefuna j atilli zot i mëshëriershim , mbasi i kaa baam e kriijuom , j ushqen  ashtu ende e j ruon e j guvernon e u di gjithëve , saa janë , numurinë e emënat e tyne , – saa e saa ma j madh e j lëvduom ashtë aj vetë i mëshëriershimi ;	Dua të thom , se , kur këto gjëra gjithë kaq të rënda e të mëdha e kurrë të panjohura i atilli zot i mëshërshëm , mbasi i ka bërë e kriijuar , i ushqen ashtu edhe e i ruon e i qveris e u di të gjithëve , sa janë , numrin e emrat e tyre , – sa e sa më imadh e ilëvduar ashtë ai vetë i mëshirshëm ;	Për të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të të	0.2690555672393133
