source	gold	translation	BLEU score
Të ciinë kafshë tue e gjegjunë , prifti mbet e j tha , se : Për të vërtetë , sikundrëse i flet me gojë , nd i mbeson ende me zemërë , këto kafshë kanë me të qenë për të madh frujt e dobii të shpiirtit , – e aqë maa tepërë mb atë arrësye , kuur të u a mpsonje e mirë të u a shtinje ndë mend ende tjerëve me j diijtunë .	Të cilën gjë duke e dëgjuar , prifti mbeti e i tha , se : Për të vërtetë , sikundërse i flet me gojë , në i beson ende me zemër , këto gjëra kanë për të qenë për të madh fryt e dobi të shpirtit , – e aq më tepër në atë arsye , kur t'ua mësojë e mirë t'ua shtijë në mend edhe të tjerëve për t'i ditur .	Në të vërtetë, kur të mos më flisni, kur të mos më mbani, këto kafshë duhet të jenë për të dhënë frytet dhe dobitë e shpirtit, dhe kjo është e tepërt për të ndaluar, kur të mos më falni dhe të mos më falni të tjerët.	3.8998981919782794
Përse kush të gjindeej , se shtie kundrë këtyne fjalëve – ndo makaar veçëse njaj së vetëmesë ncosh – qi të mos mbeson me gjithë zemërë , j atilli e se të bante gjithë të miratë e shekullit saa për të shelbuomit të shpiirtit , – asndoonjë ncosh s kish me j u përzanë as me j viejtunë , ashtu as regjëniinë e qiellet s kish me mundunë me e dobitunë .	Përse kush të gjendej , se shtie kundër këtyre fjalëve – ndo makar veçse një së vetmes sosh – që të mos beson me gjithë zemër , i atilli e se të bënte gjithë të mirat e shekullit sa për shëlbimin e shpirtit , – as ndonjë sosh s'kish t'ju përzinte as me i viejtunë , ashtu as mbretërinë e qiellit s'kish mundur ta dobitunë .	Përse nuk mund të bësh, nëse mund të bësh një gjë të tillë, atëherë do të bësh një gjë të tillë në të gjithë botën, nëse mund të bësh një gjë të tillë për të shelbuomit të shpirtit, si të bësh një gjë të tillë si të jesh i gjallë, ashtu si regjioni dhe qiellet e jetës në botë dhe në botë.	2.159419310021986
Praashtu , a munë diish , se kush i kaa zanë fiill e folë maa parë këto shinte fjalë , qi ashtë të Mbesuomitë ?	Prandaj , a mund ta dish , se kush i ka zënë fiill e fol më parë këto të shenjta fjalë , që është të besuarit ?	Pra, si mund të thuhet, nëse unë kam parë këto fjalë të ndryshme, si është kjo e vërtetë?	4.307379436364297
E gjakoni : Të dymbëdhjetë Apostujtë mb atë herë , kuur mbas mundimit e mortjet se Krishtit qenë mbushunë me rrezeet e dritët të Shpiirtit Shint e u daanë ndëpër gjithë rretht të shekullit me mpsuom e me predikuom shintinë ungjiill e feenë e Krishtit .	E dhjaku: Të dymbëdhjetë Apostujt atëherë , kur mbas mundimit e mortjes së Krishtit qenë mbushur me rrezet e dritës së Shpirtit Shenjtë e u ndanë ndëpër gjithë rreth të  botës për të mësuar e për të predikuar të shenjtin ungjill e fenë e Krishtit .	E gjakoni: Të Dytë Apostolët në atë kohë, kur mbas mundimit dhe vdekjes së Krishtit ishin të rinj me rrezet dhe drejtpërdrejt Shirtit Shint dhe u bënë të gjithë rrethin e shekullit me mpsuom dhe predikuam ungjillin shintin e fesë së Krishtit.	8.99791314722958
Praashtu janë quojtunë dymbëdhjetë artikuj , sikuur thuose dymbëdhjetë nenje oo gjymptyrë , përse i siicilli ncish jo veçëse foli e tha të vetnë mposë , po ashtu ende me të madh kujdes e të nzyyrunë i shkruonë ndë letërë e j forcuonë mb atë arrësye , qi askuurraaj maa ndeevonë të mos vdaarenë e të mos meengonjënë tue urdhënuom ashtu ende , qi gjith i kërshtenë , oo burrë oo gruo të jeetë , detuor e mbaajtunë të jeetë këta artikuj e shinte fjalë sikundrëse vetë bukur me j diijtunë e me j mbesuom , ashtu ende me u a mpsuom djelmet e fëmiisë e gjith atyne , qi kanë ndënë urdhënë përmbrenda plangut e shtëpiisë vet , – ashtu qi disa me këto , disa ende me saa tjera vepëra të mira e të shelbuome të jeenë të plotë ndë shintet fee e të bahenë të denjëtë e lavdit Tinëzot e të gazimendit regjëniisë qiellet për gjithë jetë-të jetësë .	Prandaj janë quajtur dymbëdhjetë artikuj , sikur thuase dymbëdhjetë nyje o gjymtyrë , sepse secili syresh jo veçse foli e tha të vetën mposë , po ashtu edhe me të  madh kujdes e të nzyyrunë i shkruan në letër e i forcuan në atë arsye , që askurrë më vonë të mos humbin e të mos mëngojnë duke urdhëruar ashtu edhe , që gjithë i krishterë , o burrë o grua të jetë , detorës e mbajtur të jetë këta artikuj e të shenjtat fjalë sikundërse vetë bukur për t'i ditur e për t'i besuar , ashtu edhe për t'ua mësuar djemve të fëmiljes e gjith atyre , që kanë nën urdhër përmbrenda plangut e shtëpisë së vet , – ashtu që disa me këto , disa edhe me sa tjera vepra të mira e të shëlbuar të jenë të plotë në të shenjtën fe e të bëhen të denjët e lavdit të Tinëzot e të gazmendit të mbretërisë së qiellit për gjithë jetë të jetëve .	Pra, ka 12 artikuj, ndoshta 12 nga këto, pse i duhet të shkruajë me kujdes dhe kujdes, dhe pse të mos shkruajë me të vërtetë, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di, nëse e di Disa nga këto vepra të mira dhe shelbuome të reja janë të plotë në pagesën e shintet dhe të shenjave të reja dhe të lavditës së Tinëzot dhe të gazendit të regjionit qiellet për gjithë jetën.	2.035543827388781
E prifti : Pa më thuo , se : Qish fjalë n krye mbahenë ndër këta artikuj e shinte kafshë , qi përmendmë përsipëri ?	E prifti : Pa më thuaj , se : Ç'fjalë në krye mbahen ndër këta artikuj e shenjta gjë, që përmendëm përsipër ?	E prifti: Pa më thuo, se: Qish fjalë n kryehenë në mesin e këtyre artikujve dhe kafshëve të ndryshme, qi përmendmë përsipërie?	19.230188007838606
E gjakoni : Jo tjetër maa tepërë veçëse na qesënë nee përpara syyvet e bukur na e nçelnjënë , se të ciatë kafshë na duhetë me mbesuom , e me qenë të tanë e të plotë ndë feet të Krishtit .	E dhjaku: Jo tjetër më tepër veçse na qesin ne përpara syve e bukur na e çelin , se të cilat gjëra na duhet të besojmë , e për të qenë të tërë e të plotë në fe të Krishtit .	E gjakoni: Përveç kësaj, më shumë se në këtë rast dhe përpara kësaj kohe të bukur dhe të bukur, nëse do të më pëlqej, do të jem i plotë në këmbët e Krishtit.	3.542362954540451
Përse këta të tetë artikujtë e parë përkasënë ndersë Tinëzot , e katër të mbrapënitë shintesë kishë katolike .	Përse këta të tetë artikujt e parë i përkasin nderit të Tinëzot , e katër të prapmit së shenjtës kishë katolike .	Prandaj, këto tre artikulla janë të parat që flasin për Tinëzot, dhe katër nga këto shenjime të shintezitë të Kishës Katolike.	4.303846266589083
E prifti : U fort dëshëronj , të më thoshnje gjaakafshë kënci artikullit së parë , qi të munë mar vesht , se si e mbaa e e kie forcuom ndë zemërë-tande .	E prifti : Unë fort dëshiroj , të më thoshje gjëkafshë kësi artikulli të parë , që të mundë të marrë vesh , se si e mban e e ke forcuar në zemrën tënde .	E prifti: U fort dëshëronj, me thoshnje gjaakafshë kënga e artikullit të parë, qi ti me mar vesht, se se e apo e e kie forcuom ndë zemër-tande.	9.051326417931778
E gjakoni bukur nçelë mbet e j tha , se : U tashti e gjithëherë me gjithë zemërë e shpëresë e mend e shqise e me gjithë forcët e fuqi-teme mbesonje mir e dii , se ashtë mirëfiilli e për të vërtetë një i vetëmë Zotyynë , i cilli me të dërejtë e të vërtetë arrësye ashtë Ati i njaj t vetëmit Birit vet , Krishtit mëshëriershim , Zotit tynë ;	E dhjaku bukur çelë mbet e i tha , se : U tashti e gjithherë me gjithë zemër e shpresë e mend e shqisë e me gjithë forcën e fuqinë time besoj e mir e di , se është mirëfilli e për të vërtetë një i vetëm Zoti ynë , i cilli me të drejtë e të vërtetë arsye është Ati i një të vetmit Bir të vet , Krishtit të mëshirshëm , Zotit tonë ;	E gjakoni bukurë që mbetën dhe thonin se: U tashti e gjithmonë me gjithë zemrën dhe shpërblimin dhe mendimin dhe shqise dhe me të gjithë forcat dhe fuqitë e tyre, nëse është mirëfilltë dhe vërtet një i vetëm Zotyynë, unë do të më dërgoj të drejtë dhe të vërtetë të rreshtur Ati Atij dhe të vetë Birit vet, Kristiit mëshërier, Zotit tonë;	12.670212810743726
e me gjith aqë hire të paanjefuna e të mira , qi na kaa baam ende po na ban , ashtë ati i mëshëriershim e prindi i gjithë feesë kërshtenë – j atyne , duo të thom , qi janë të prunjëtitë e të feeshimitë bijtë e tii , – e jo i disa madhështore kryëkecyem , qi me ato madhështiit e të paagjejshimit të vet janë daam n gjiut e sietullet së tii e mpshtetunë ndaj Luçifernë e mallëkuom .	e me gjithë aq hire të panjohura e të mira , që na ka bërë edhe po na bën , është ati i mëshirshëm e prindi i gjithë fesë së krishterë – i atyre , dua të them , që janë të përulëtit e të feshmitë bijtë e tij , – e jo i disa madhështore kryekëcyer , që me ato madhështitë e të paagjejshimit e vet janë dëm në gjirin e sqetullat e tij e mbështetur në Djallin e mallkuar .	Dhe të gjitha janë të punësuar për të bërë dhe të bërë, qi na ka baam ende po ban, ashtë dhe mëshërishim dhe prindi të gjitha fesë kërshtenë  j atyne, duo të thom, qi janë të prunjëtitë dhe të feshimitë e bitë dhe çaji,  e jo disa madhështore kryëkecyem, qi me madhështiit dhe të pagjejshimit të vet janë dam n gjiut dhe silet e tijes dhe mpshtetunë ndaj Luçifernë dhe mallëkuom.	2.562612534236192
