source	gold	translation	BLEU score
Të ciinë kafshë tue e gjegjunë , prifti mbet e j tha , se : Për të vërtetë , sikundrëse i flet me gojë , nd i mbeson ende me zemërë , këto kafshë kanë me të qenë për të madh frujt e dobii të shpiirtit , – e aqë maa tepërë mb atë arrësye , kuur të u a mpsonje e mirë të u a shtinje ndë mend ende tjerëve me j diijtunë .	Të cilën gjë duke e dëgjuar , prifti mbeti e i tha , se : Për të vërtetë , sikundërse i flet me gojë , në i beson ende me zemër , këto gjëra kanë për të qenë për të madh fryt e dobi të shpirtit , – e aq më tepër në atë arsye , kur t'ua mësojë e mirë t'ua shtijë në mend edhe të tjerëve për t'i ditur .	që kafshët tuaja të gjejnë, prifti mbetet dhe tha: “Në të vërtetë, ashtu siç i flet me gojë, nuk i mbajë ende me zemërim, këto kafshë kanë qenë me të frutat e dobishme të shpirtit, dhe aq shumë e tepërt për atë arrijë, që t’i mbajë mend edhe të tjerëve me të diturinë”.	14.13670426052932
Përse kush të gjindeej , se shtie kundrë këtyne fjalëve – ndo makaar veçëse njaj së vetëmesë ncosh – qi të mos mbeson me gjithë zemërë , j atilli e se të bante gjithë të miratë e shekullit saa për të shelbuomit të shpiirtit , – asndoonjë ncosh s kish me j u përzanë as me j viejtunë , ashtu as regjëniinë e qiellet s kish me mundunë me e dobitunë .	Përse kush të gjendej , se shtie kundër këtyre fjalëve – ndo makar veçse një së vetmes sosh – që të mos beson me gjithë zemër , i atilli e se të bënte gjithë të mirat e shekullit sa për shëlbimin e shpirtit , – as ndonjë sosh s'kish t'ju përzinte as me i viejtunë , ashtu as mbretërinë e qiellit s'kish mundur ta dobitunë .	kush do të shqetësohet për të shkuar në kundërshtim me fjalë të tilla, nuk do të shqetësohet me tërë zemër, nuk do të shqetësohet me tërë zemër, nuk do të shqetësohet me të gjithë miratën e shekullit për shpëtimin e shpirtit, nuk do të shqetësohet me të as me të, as me mbretërinë e qiellit, nuk do të ketë punë me përfitime.	5.334369991240527
Praashtu , a munë diish , se kush i kaa zanë fiill e folë maa parë këto shinte fjalë , qi ashtë të Mbesuomitë ?	Prandaj , a mund ta dish , se kush i ka zënë fiill e fol më parë këto të shenjta fjalë , që është të besuarit ?	, a do të dini se kush i ka thënë këto fjalë të shndritshme, a do të jetë ai i besimtarëve?	12.251475089803911
E gjakoni : Të dymbëdhjetë Apostujtë mb atë herë , kuur mbas mundimit e mortjet se Krishtit qenë mbushunë me rrezeet e dritët të Shpiirtit Shint e u daanë ndëpër gjithë rretht të shekullit me mpsuom e me predikuom shintinë ungjiill e feenë e Krishtit .	E dhjaku: Të dymbëdhjetë Apostujt atëherë , kur mbas mundimit e mortjes së Krishtit qenë mbushur me rrezet e dritës së Shpirtit Shenjtë e u ndanë ndëpër gjithë rreth të  botës për të mësuar e për të predikuar të shenjtin ungjill e fenë e Krishtit .	: Të dymbëdhjetë Apostujt në atë kohë, kur pas vuajtjes së vdekjeve që Krishti ishte i mbushur me rreze të dritave të Shpirtit Shint dhe u ngjitën në të gjithë rrethin e shekullit me mpsuom dhe me predikimin e shkëlqimit ungjillit të feve të Krishtit.	8.65311728984811
Praashtu janë quojtunë dymbëdhjetë artikuj , sikuur thuose dymbëdhjetë nenje oo gjymptyrë , përse i siicilli ncish jo veçëse foli e tha të vetnë mposë , po ashtu ende me të madh kujdes e të nzyyrunë i shkruonë ndë letërë e j forcuonë mb atë arrësye , qi askuurraaj maa ndeevonë të mos vdaarenë e të mos meengonjënë tue urdhënuom ashtu ende , qi gjith i kërshtenë , oo burrë oo gruo të jeetë , detuor e mbaajtunë të jeetë këta artikuj e shinte fjalë sikundrëse vetë bukur me j diijtunë e me j mbesuom , ashtu ende me u a mpsuom djelmet e fëmiisë e gjith atyne , qi kanë ndënë urdhënë përmbrenda plangut e shtëpiisë vet , – ashtu qi disa me këto , disa ende me saa tjera vepëra të mira e të shelbuome të jeenë të plotë ndë shintet fee e të bahenë të denjëtë e lavdit Tinëzot e të gazimendit regjëniisë qiellet për gjithë jetë-të jetësë .	Prandaj janë quajtur dymbëdhjetë artikuj , sikur thuase dymbëdhjetë nyje o gjymtyrë , sepse secili syresh jo veçse foli e tha të vetën mposë , po ashtu edhe me të  madh kujdes e të nzyyrunë i shkruan në letër e i forcuan në atë arsye , që askurrë më vonë të mos humbin e të mos mëngojnë duke urdhëruar ashtu edhe , që gjithë i krishterë , o burrë o grua të jetë , detorës e mbajtur të jetë këta artikuj e të shenjtat fjalë sikundërse vetë bukur për t'i ditur e për t'i besuar , ashtu edhe për t'ua mësuar djemve të fëmiljes e gjith atyre , që kanë nën urdhër përmbrenda plangut e shtëpisë së vet , – ashtu që disa me këto , disa edhe me sa tjera vepra të mira e të shëlbuar të jenë të plotë në të shenjtën fe e të bëhen të denjët e lavdit të Tinëzot e të gazmendit të mbretërisë së qiellit për gjithë jetë të jetëve .	prej të cilëve u përmendën edhe dymbëdhjetë artikuj, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, të cilëve u përcjellën, disa ende me vepra të tjera të mira të shpëtimit të jeeneve të plotë në shintet fe dhe bahenë të denjë të lavdisë Tinëzot e gazimendi mbretërinë e qiellit për të gjithë jetën.	2.751253759434236
E prifti : Pa më thuo , se : Qish fjalë n krye mbahenë ndër këta artikuj e shinte kafshë , qi përmendmë përsipëri ?	E prifti : Pa më thuaj , se : Ç'fjalë në krye mbahen ndër këta artikuj e shenjta gjë, që përmendëm përsipër ?	mos më thuaj: “Kur fjalët në krye të mbahen në mesin e këtyre artikujve të shndërruara kafshët, a përmendim përsëri?”	5.450048489014556
E gjakoni : Jo tjetër maa tepërë veçëse na qesënë nee përpara syyvet e bukur na e nçelnjënë , se të ciatë kafshë na duhetë me mbesuom , e me qenë të tanë e të plotë ndë feet të Krishtit .	E dhjaku: Jo tjetër më tepër veçse na qesin ne përpara syve e bukur na e çelin , se të cilat gjëra na duhet të besojmë , e për të qenë të tërë e të plotë në fe të Krishtit .	gjaku: Nuk ka tjetër tokë të tepërt, përveçse të na qeshë para syve të bukura, që të gjitha kafshët na kanë nevojë me besim, dhe me qenie jonë të plotë me këmbët e Krishtit.	3.4935713942292312
Përse këta të tetë artikujtë e parë përkasënë ndersë Tinëzot , e katër të mbrapënitë shintesë kishë katolike .	Përse këta të tetë artikujt e parë i përkasin nderit të Tinëzot , e katër të prapmit së shenjtës kishë katolike .	pse këto tetë artikujt e para i përkasin sinqerisht Tinenzot, dhe katër mbulimet e Kishës Katolike.	9.323745063226129
E prifti : U fort dëshëronj , të më thoshnje gjaakafshë kënci artikullit së parë , qi të munë mar vesht , se si e mbaa e e kie forcuom ndë zemërë-tande .	E prifti : Unë fort dëshiroj , të më thoshje gjëkafshë kësi artikulli të parë , që të mundë të marrë vesh , se si e mban e e ke forcuar në zemrën tënde .	: Doja shumë të më thoshte qoshe në artikullin e parë, se si ta mbajë dhe ta forcoj në zemër tënde.	6.329870080768052
E gjakoni bukur nçelë mbet e j tha , se : U tashti e gjithëherë me gjithë zemërë e shpëresë e mend e shqise e me gjithë forcët e fuqi-teme mbesonje mir e dii , se ashtë mirëfiilli e për të vërtetë një i vetëmë Zotyynë , i cilli me të dërejtë e të vërtetë arrësye ashtë Ati i njaj t vetëmit Birit vet , Krishtit mëshëriershim , Zotit tynë ;	E dhjaku bukur çelë mbet e i tha , se : U tashti e gjithherë me gjithë zemër e shpresë e mend e shqisë e me gjithë forcën e fuqinë time besoj e mir e di , se është mirëfilli e për të vërtetë një i vetëm Zoti ynë , i cilli me të drejtë e të vërtetë arsye është Ati i një të vetmit Bir të vet , Krishtit të mëshirshëm , Zotit tonë ;	ja e gjakut të bukur mbetet dhe ai tha: “Unë tani dhe gjithmonë me gjithë zemër dhe shpëtim, mendje dhe mendje dhe me të gjitha forcat e fuqisë dhe fuqinë e tokës, që është mirësia dhe me të vërtetë një Zot i vetëm, i cili me të vërtetë e ka arritur këtë Ati i vetëm i Birit të vetëm, Krishtit mëshirë, Zotit tënd;	5.978136726925815
